athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
"Thomas, Markeeta",Clemson,ACC,100H,2017,SO-2,,,13.72,s,Charlotte 49er Classic,2017-03-16,,,-1.0,Outdoor,https://www.tfrrs.org/results/49797/3035913/Charlotte_49er_Classic/100-Hurdles,TFRRS all_performances
"Thomas, Markeeta",Clemson,ACC,100H,2017,SO-2,,,14.03,s,Charlotte 49er Classic,2017-03-16,,,0.8,Outdoor,https://www.tfrrs.org/results/49797/3035913/Charlotte_49er_Classic/100-Hurdles,TFRRS all_performances
"Williams, Ebony",Clemson,ACC,100H,2017,SO-2,,,14.81,s,Charlotte 49er Classic,2017-03-16,,,-0.1,Outdoor,https://www.tfrrs.org/results/49797/3035913/Charlotte_49er_Classic/100-Hurdles,TFRRS all_performances
"Farrow, Ersula",Clemson,ACC,400m,2017,SO-2,,,56.52,s,Charlotte 49er Classic,2017-03-16,,,,Outdoor,https://www.tfrrs.org/results/49797/3035904/Charlotte_49er_Classic/400-Meters,TFRRS all_performances
"Maydew, Dana",Clemson,ACC,400m,2017,JR-3,,,59.54,s,Charlotte 49er Classic,2017-03-16,,,,Outdoor,https://www.tfrrs.org/results/49797/3035904/Charlotte_49er_Classic/400-Meters,TFRRS all_performances
"McGowan, Imani",Clemson,ACC,400m,2017,SO-2,,,58.50,s,Charlotte 49er Classic,2017-03-16,,,,Outdoor,https://www.tfrrs.org/results/49797/3035904/Charlotte_49er_Classic/400-Meters,TFRRS all_performances
"Thomas, Markeeta",Clemson,ACC,400m,2017,SO-2,,,56.94,s,Charlotte 49er Classic,2017-03-16,,,,Outdoor,https://www.tfrrs.org/results/49797/3035904/Charlotte_49er_Classic/400-Meters,TFRRS all_performances
"Warner, Lakeisha",Clemson,ACC,400m,2017,FR-1,,,55.75,s,Charlotte 49er Classic,2017-03-16,,,,Outdoor,https://www.tfrrs.org/results/49797/3035904/Charlotte_49er_Classic/400-Meters,TFRRS all_performances
"Johnson, Valerie",Clemson,ACC,Long Jump,2017,SO-2,,,5.60,m,Charlotte 49er Classic,2017-03-16,,,1.3,Outdoor,https://www.tfrrs.org/results/49797/3035894/Charlotte_49er_Classic/Long-Jump,TFRRS all_performances
"Williams, Ebony",Clemson,ACC,100H,2017,SO-2,,,13.80,s,Miami Hurricane Collegiate Invitational,2017-03-25,,,1.7,Outdoor,https://www.tfrrs.org/results/46899/3053302/Miami_Hurricane_Collegiate_Invitational/100-Hurdles,TFRRS all_performances
"Thomas, Markeeta",Clemson,ACC,400H,2017,SO-2,,,59.96,s,Miami Hurricane Collegiate Invitational,2017-03-25,,,,Outdoor,https://www.tfrrs.org/results/46899/3053280/Miami_Hurricane_Collegiate_Invitational/400-Hurdles,TFRRS all_performances
"Warner, Lakeisha",Clemson,ACC,400H,2017,FR-1,,,1:00.39,s,Miami Hurricane Collegiate Invitational,2017-03-25,,,,Outdoor,https://www.tfrrs.org/results/46899/3053280/Miami_Hurricane_Collegiate_Invitational/400-Hurdles,TFRRS all_performances
"George, Malayshia",Clemson,ACC,400m,2017,JR-3,,,54.40,s,Miami Hurricane Collegiate Invitational,2017-03-25,,,,Outdoor,https://www.tfrrs.org/results/46899/3053270/Miami_Hurricane_Collegiate_Invitational/400-Meters,TFRRS all_performances
"James, Olivia",Clemson,ACC,400m,2017,SR-4,,,53.29,s,Miami Hurricane Collegiate Invitational,2017-03-25,,,,Outdoor,https://www.tfrrs.org/results/46899/3053270/Miami_Hurricane_Collegiate_Invitational/400-Meters,TFRRS all_performances
"Collins, Angelica",Clemson,ACC,Long Jump,2017,JR-3,,,5.70,m,Miami Hurricane Collegiate Invitational,2017-03-25,,,-0.8,Outdoor,https://www.tfrrs.org/results/46899/3053282/Miami_Hurricane_Collegiate_Invitational/Long-Jump,TFRRS all_performances
"Thomas, Markeeta",Clemson,ACC,400H,2017,SO-2,,,1:00.61,s,2017 90th Clyde Littlefield Texas Relays,2017-03-29,,,,Outdoor,https://www.tfrrs.org/results/48669/3075236/2017_90th_Clyde_Littlefield_Texas_Relays/400-Hurdles,TFRRS all_performances
"Collins, Angelica",Clemson,ACC,Long Jump,2017,JR-3,,,6.08,m,2017 90th Clyde Littlefield Texas Relays,2017-03-29,,,1.1,Outdoor,https://www.tfrrs.org/results/48669/3075296/2017_90th_Clyde_Littlefield_Texas_Relays/Long-Jump,TFRRS all_performances
"Thomas, Markeeta",Clemson,ACC,400H,2017,SO-2,,,60.61,s,Texas Relays,2017-03-30,Prelim,,,Outdoor,https://www.tfrrs.org/athletes/5640837/Clemson/Markeeta_Thomas,legacy_source_needs_review
"Thomas, Markeeta",Clemson,ACC,100H,2017,SO-2,,,13.79,s,Spec Towns Invitational,2017-04-07,,,1.3,Outdoor,https://www.tfrrs.org/results/50860/3101799/Spec_Towns_Invitational/100-Hurdles,TFRRS all_performances
"Williams, Ebony",Clemson,ACC,100H,2017,SO-2,,,13.46,s,Spec Towns Invitational,2017-04-07,,,1.3,Outdoor,https://www.tfrrs.org/results/50860/3101799/Spec_Towns_Invitational/100-Hurdles,TFRRS all_performances
"Thomas, Markeeta",Clemson,ACC,400H,2017,SO-2,,,59.88,s,Spec Towns Invitational,2017-04-07,,,,Outdoor,https://www.tfrrs.org/results/50860/3101774/Spec_Towns_Invitational/400-Hurdles,TFRRS all_performances
"Warner, Lakeisha",Clemson,ACC,400H,2017,FR-1,,,58.83,s,Spec Towns Invitational,2017-04-07,,,,Outdoor,https://www.tfrrs.org/results/50860/3101774/Spec_Towns_Invitational/400-Hurdles,TFRRS all_performances
"James, Olivia",Clemson,ACC,400m,2017,SR-4,,,53.52,s,Spec Towns Invitational,2017-04-07,,,,Outdoor,https://www.tfrrs.org/results/50860/3101797/Spec_Towns_Invitational/400-Meters,TFRRS all_performances
"Amsterdam, Iana",Clemson,ACC,Long Jump,2017,SR-4,,,5.86,m,Spec Towns Invitational,2017-04-07,,,2.0,Outdoor,https://www.tfrrs.org/results/50860/3101809/Spec_Towns_Invitational/Long-Jump,TFRRS all_performances
"Johnson, Valerie",Clemson,ACC,Long Jump,2017,SO-2,,,5.35,m,Spec Towns Invitational,2017-04-07,,,0.1,Outdoor,https://www.tfrrs.org/results/50860/3101809/Spec_Towns_Invitational/Long-Jump,TFRRS all_performances
"Terrell, Anasterasia",Clemson,ACC,Long Jump,2017,SR-4,,,5.63,m,Spec Towns Invitational,2017-04-07,,,1.3,Outdoor,https://www.tfrrs.org/results/50860/3101809/Spec_Towns_Invitational/Long-Jump,TFRRS all_performances
"Thomas, Markeeta",Clemson,ACC,400H,2017,SO-2,,,59.23,s,LSU Alumni Gold,2017-04-22,,,,Outdoor,https://www.tfrrs.org/results/47400/3140899/LSU_Alumni_Gold/400-Hurdles,TFRRS all_performances
"Warner, Lakeisha",Clemson,ACC,400H,2017,FR-1,,,1:00.26,s,LSU Alumni Gold,2017-04-22,,,,Outdoor,https://www.tfrrs.org/results/47400/3140899/LSU_Alumni_Gold/400-Hurdles,TFRRS all_performances
"George, Malayshia",Clemson,ACC,400m,2017,JR-3,,,54.08,s,LSU Alumni Gold,2017-04-22,,,,Outdoor,https://www.tfrrs.org/results/47400/3140932/LSU_Alumni_Gold/400-Meters,TFRRS all_performances
"James, Olivia",Clemson,ACC,400m,2017,SR-4,,,53.58,s,LSU Alumni Gold,2017-04-22,,,,Outdoor,https://www.tfrrs.org/results/47400/3140932/LSU_Alumni_Gold/400-Meters,TFRRS all_performances
"Collins, Angelica",Clemson,ACC,Long Jump,2017,JR-3,,,5.93,m,LSU Alumni Gold,2017-04-22,,,0.5,Outdoor,https://www.tfrrs.org/results/47400/3140935/LSU_Alumni_Gold/Long-Jump,TFRRS all_performances
"Williams, Ebony",Clemson,ACC,100H,2017,SO-2,,,13.63,s,Penn Relays,2017-04-27,,,0.1,Outdoor,https://www.tfrrs.org/results/51632/3163704/Penn_Relays/100-Hurdles,TFRRS all_performances
"Williams, Ebony",Clemson,ACC,100H,2017,SO-2,,,13.70,s,Penn Relays,2017-04-27,,,-0.8,Outdoor,https://www.tfrrs.org/results/51632/3163731/Penn_Relays/100-Hurdles,TFRRS all_performances
"Amsterdam, Iana",Clemson,ACC,Long Jump,2017,SR-4,,,6.10,m,Penn Relays,2017-04-27,,,2.0,Outdoor,https://www.tfrrs.org/results/51632/3163734/Penn_Relays/Long-Jump,TFRRS all_performances
"Williams, Ebony",Clemson,ACC,100H,2017,SO-2,,,13.46,s,ACC Outdoor Track & Field Championships,2017-05-12,,,0.1,Outdoor,https://www.tfrrs.org/results/51674/3191837/ACC_Outdoor_Track__Field_Championships/100-Hurdles,TFRRS all_performances
"Williams, Ebony",Clemson,ACC,100H,2017,SO-2,,,13.63,s,ACC Outdoor Track & Field Championships,2017-05-12,,,0.4,Outdoor,https://www.tfrrs.org/results/51674/3191837/ACC_Outdoor_Track__Field_Championships/100-Hurdles,TFRRS all_performances
"Thomas, Markeeta",Clemson,ACC,400H,2017,SO-2,,,57.36,s,ACC Outdoor Track & Field Championships,2017-05-12,,,,Outdoor,https://www.tfrrs.org/results/51674/3191814/ACC_Outdoor_Track__Field_Championships/400-Hurdles,TFRRS all_performances
"Thomas, Markeeta",Clemson,ACC,400H,2017,SO-2,,,58.15,s,ACC Outdoor Track & Field Championships,2017-05-12,,,,Outdoor,https://www.tfrrs.org/results/51674/3191814/ACC_Outdoor_Track__Field_Championships/400-Hurdles,TFRRS all_performances
"Warner, Lakeisha",Clemson,ACC,400H,2017,FR-1,,,58.36,s,ACC Outdoor Track & Field Championships,2017-05-12,,,,Outdoor,https://www.tfrrs.org/results/51674/3191814/ACC_Outdoor_Track__Field_Championships/400-Hurdles,TFRRS all_performances
"Warner, Lakeisha",Clemson,ACC,400H,2017,FR-1,,,59.51,s,ACC Outdoor Track & Field Championships,2017-05-12,,,,Outdoor,https://www.tfrrs.org/results/51674/3191814/ACC_Outdoor_Track__Field_Championships/400-Hurdles,TFRRS all_performances
"George, Malayshia",Clemson,ACC,400m,2017,JR-3,,,54.75,s,ACC Outdoor Track & Field Championships,2017-05-12,,,,Outdoor,https://www.tfrrs.org/results/51674/3191835/ACC_Outdoor_Track__Field_Championships/400-Meters,TFRRS all_performances
"James, Olivia",Clemson,ACC,400m,2017,SR-4,,,52.56,s,ACC Outdoor Track & Field Championships,2017-05-12,,,,Outdoor,https://www.tfrrs.org/results/51674/3191835/ACC_Outdoor_Track__Field_Championships/400-Meters,TFRRS all_performances
"James, Olivia",Clemson,ACC,400m,2017,SR-4,,,53.29,s,ACC Outdoor Track & Field Championships,2017-05-12,,,,Outdoor,https://www.tfrrs.org/results/51674/3191835/ACC_Outdoor_Track__Field_Championships/400-Meters,TFRRS all_performances
"Amsterdam, Iana",Clemson,ACC,Long Jump,2017,SR-4,,,6.06,m,ACC Outdoor Track & Field Championships,2017-05-12,,,0.9,Outdoor,https://www.tfrrs.org/results/51674/3191847/ACC_Outdoor_Track__Field_Championships/Long-Jump,TFRRS all_performances
"Collins, Angelica",Clemson,ACC,Long Jump,2017,JR-3,,,6.16,m,ACC Outdoor Track & Field Championships,2017-05-12,,,1.1,Outdoor,https://www.tfrrs.org/results/51674/3191847/ACC_Outdoor_Track__Field_Championships/Long-Jump,TFRRS all_performances
"Williams, Ebony",Clemson,ACC,100H,2017,SO-2,,,13.49,s,NCAA Division I East Preliminary Round,2017-05-25,,,0.2,Outdoor,https://www.tfrrs.org/results/51920/3197609/NCAA_Division_I_East_Preliminary_Round/100-Hurdles,TFRRS all_performances
"Williams, Ebony",Clemson,ACC,100H,2017,SO-2,,,13.53,s,NCAA Division I East Preliminary Round,2017-05-25,,,-0.2,Outdoor,https://www.tfrrs.org/results/51920/3197609/NCAA_Division_I_East_Preliminary_Round/100-Hurdles,TFRRS all_performances
"Thomas, Markeeta",Clemson,ACC,400H,2017,SO-2,,,57.53,s,NCAA Division I East Preliminary Round,2017-05-25,,,,Outdoor,https://www.tfrrs.org/results/51920/3197593/NCAA_Division_I_East_Preliminary_Round/400-Hurdles,TFRRS all_performances
"Thomas, Markeeta",Clemson,ACC,400H,2017,SO-2,,,57.99,s,NCAA Division I East Preliminary Round,2017-05-25,,,,Outdoor,https://www.tfrrs.org/results/51920/3197593/NCAA_Division_I_East_Preliminary_Round/400-Hurdles,TFRRS all_performances
"Warner, Lakeisha",Clemson,ACC,400H,2017,FR-1,,,58.74,s,NCAA Division I East Preliminary Round,2017-05-25,,,,Outdoor,https://www.tfrrs.org/results/51920/3197593/NCAA_Division_I_East_Preliminary_Round/400-Hurdles,TFRRS all_performances
"Warner, Lakeisha",Clemson,ACC,400H,2017,FR-1,,,59.55,s,NCAA Division I East Preliminary Round,2017-05-25,,,,Outdoor,https://www.tfrrs.org/results/51920/3197593/NCAA_Division_I_East_Preliminary_Round/400-Hurdles,TFRRS all_performances
"George, Malayshia",Clemson,ACC,400m,2017,JR-3,,,54.77,s,NCAA Division I East Preliminary Round,2017-05-25,,,,Outdoor,https://www.tfrrs.org/results/51920/3197608/NCAA_Division_I_East_Preliminary_Round/400-Meters,TFRRS all_performances
"James, Olivia",Clemson,ACC,400m,2017,SR-4,,,53.15,s,NCAA Division I East Preliminary Round,2017-05-25,,,,Outdoor,https://www.tfrrs.org/results/51920/3197608/NCAA_Division_I_East_Preliminary_Round/400-Meters,TFRRS all_performances
"James, Olivia",Clemson,ACC,400m,2017,SR-4,,,53.93,s,NCAA Division I East Preliminary Round,2017-05-25,,,,Outdoor,https://www.tfrrs.org/results/51920/3197608/NCAA_Division_I_East_Preliminary_Round/400-Meters,TFRRS all_performances
"Collins, Angelica",Clemson,ACC,Long Jump,2017,JR-3,,,5.84,m,NCAA Division I East Preliminary Round,2017-05-25,,,0.4,Outdoor,https://www.tfrrs.org/results/51920/3197604/NCAA_Division_I_East_Preliminary_Round/Long-Jump,TFRRS all_performances
"Thomas, Markeeta",Clemson,ACC,400H,2017,SO-2,,,59.25,s,NCAA Division I Outdoor Track & Field Championships,2017-06-07,,,,Outdoor,https://www.tfrrs.org/results/51935/3199097/NCAA_Division_I_Outdoor_Track__Field_Championships/400-Hurdles,TFRRS all_performances
"Thomas, Markeeta",Clemson,ACC,400H,2017,SO-2,,,58.41,s,USATF Outdoor Championships,2017-06-22,Prelim,,,Outdoor,https://www.tfrrs.org/athletes/5640837/Clemson/Markeeta_Thomas,legacy_source_needs_review
"Jander, Tracy",Duke,ACC,100H,2017,FR-1,,,16.03,s,Raleigh Relays,2017-03-24,,,0.2,Outdoor,https://www.tfrrs.org/results/50119/3052295/Raleigh_Relays/100-Hurdles,TFRRS all_performances
"Lemmons, Jaida",Duke,ACC,100H,2017,SO-2,,,14.87,s,Raleigh Relays,2017-03-24,,,0.2,Outdoor,https://www.tfrrs.org/results/50119/3052295/Raleigh_Relays/100-Hurdles,TFRRS all_performances
"Hill, Jasmine",Duke,ACC,400m,2017,JR-3,,,59.54,s,Raleigh Relays,2017-03-24,,,,Outdoor,https://www.tfrrs.org/results/50119/3052294/Raleigh_Relays/400-Meters,TFRRS all_performances
"Jander, Tracy",Duke,ACC,100H,2017,FR-1,,,15.61,s,Battle of the Blues,2017-04-01,,,0.5,Outdoor,https://www.tfrrs.org/results/50487/3075699/Battle_of_the_Blues/100-Hurdles,TFRRS all_performances
"Lemmons, Jaida",Duke,ACC,100H,2017,SO-2,,,14.67,s,Battle of the Blues,2017-04-01,,,0.5,Outdoor,https://www.tfrrs.org/results/50487/3075699/Battle_of_the_Blues/100-Hurdles,TFRRS all_performances
"Jander, Tracy",Duke,ACC,400H,2017,FR-1,,,1:08.80,s,Battle of the Blues,2017-04-01,,,,Outdoor,https://www.tfrrs.org/results/50487/3075687/Battle_of_the_Blues/400-Hurdles,TFRRS all_performances
"Hill, Jasmine",Duke,ACC,400m,2017,JR-3,,,58.77,s,Battle of the Blues,2017-04-01,,,,Outdoor,https://www.tfrrs.org/results/50487/3075697/Battle_of_the_Blues/400-Meters,TFRRS all_performances
"Kerr, MacKenzie",Duke,ACC,400m,2017,SO-2,,,56.54,s,Battle of the Blues,2017-04-01,,,,Outdoor,https://www.tfrrs.org/results/50487/3075697/Battle_of_the_Blues/400-Meters,TFRRS all_performances
"Kopp, Madeline",Duke,ACC,400m,2017,SR-4,,,52.91,s,Battle of the Blues,2017-04-01,,,,Outdoor,https://www.tfrrs.org/results/50487/3075697/Battle_of_the_Blues/400-Meters,TFRRS all_performances
"Lemmons, Jaida",Duke,ACC,Long Jump,2017,SO-2,,,5.79,m,Battle of the Blues,2017-04-01,,,0.1,Outdoor,https://www.tfrrs.org/results/50487/3075701/Battle_of_the_Blues/Long-Jump,TFRRS all_performances
"Murphy, Sydnei",Duke,ACC,Long Jump,2017,FR-1,,,6.41,m,Battle of the Blues,2017-04-01,,,-0.1,Outdoor,https://www.tfrrs.org/results/50487/3075701/Battle_of_the_Blues/Long-Jump,TFRRS all_performances
"Hill, Jasmine",Duke,ACC,400m,2017,JR-3,,,59.59,s,Tennessee Relays,2017-04-06,,,,Outdoor,https://www.tfrrs.org/results/49376/3096496/Tennessee_Relays/400-Meters,TFRRS all_performances
"Lemmons, Jaida",Duke,ACC,100H,2017,SO-2,,,14.93,s,Mt. SAC Relays/CA Invitational Multi Events,2017-04-12,,,-1.4,Outdoor,https://www.tfrrs.org/results/48974/3124428/Mt_SAC_Relays_CA_Invitational_Multi_Events/100-Hurdles,TFRRS all_performances
"Kopp, Madeline",Duke,ACC,400m,2017,SR-4,,,53.46,s,Pacific Beach Intercollegiate,2017-04-13,,,,Outdoor,https://www.tfrrs.org/results/51138/3123994/Pacific_Beach_Intercollegiate/400-Meters,TFRRS all_performances
"Kerr, MacKenzie",Duke,ACC,400m,2017,SO-2,,,54.14,s,Beach Invitational,2017-04-14,,,,Outdoor,https://www.tfrrs.org/results/51137/3123791/Beach_Invitational/400-Meters,TFRRS all_performances
"Price, Madeline",Duke,ACC,400m,2017,JR-3,,,54.54,s,Beach Invitational,2017-04-14,,,,Outdoor,https://www.tfrrs.org/results/51137/3123791/Beach_Invitational/400-Meters,TFRRS all_performances
"Murphy, Sydnei",Duke,ACC,Long Jump,2017,FR-1,,,6.13,m,Beach Invitational,2017-04-14,,,+0.0,Outdoor,https://www.tfrrs.org/results/51137/3123780/Beach_Invitational/Long-Jump,TFRRS all_performances
"Hill, Jasmine",Duke,ACC,400m,2017,JR-3,,,59.03,s,Duke Invitational,2017-04-21,,,,Outdoor,https://www.tfrrs.org/results/51359/3143094/Duke_Invitational/400-Meters,TFRRS all_performances
"Kerr, MacKenzie",Duke,ACC,400m,2017,SO-2,,,54.07,s,Duke Invitational,2017-04-21,,,,Outdoor,https://www.tfrrs.org/results/51359/3143094/Duke_Invitational/400-Meters,TFRRS all_performances
"Kopp, Madeline",Duke,ACC,400m,2017,SR-4,,,53.10,s,Duke Invitational,2017-04-21,,,,Outdoor,https://www.tfrrs.org/results/51359/3143094/Duke_Invitational/400-Meters,TFRRS all_performances
"Murphy, Sydnei",Duke,ACC,Long Jump,2017,FR-1,,,6.04,m,Penn Relays,2017-04-27,,,+0.0,Outdoor,https://www.tfrrs.org/results/51632/3170396/Penn_Relays/Long-Jump,TFRRS all_performances
"Lemmons, Jaida",Duke,ACC,100H,2017,SO-2,,,14.74,s,Virginia Grand Prix,2017-04-29,,,0.7,Outdoor,https://www.tfrrs.org/results/51624/3162899/Virginia_Grand_Prix/100-Hurdles,TFRRS all_performances
"Lemmons, Jaida",Duke,ACC,Long Jump,2017,SO-2,,,5.63,m,Virginia Grand Prix,2017-04-29,,,1.6,Outdoor,https://www.tfrrs.org/results/51624/3162901/Virginia_Grand_Prix/Long-Jump,TFRRS all_performances
