index,athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
0,"Bonds, Tiana",Arizona,Big 12,100H,2017,JR-3,,,13.99,seconds,2017 Willie Williams Classic (College/Open),2017-03-17,,,-0.1,Outdoor,https://www.tfrrs.org/results/48914/3038132/2017_Willie_Williams_Classic_College_Open/100-Hurdles,TFRRS all_performances
1,"Johns, Rachel",Arizona,Big 12,100H,2017,JR-3,,,14.46,seconds,2017 Willie Williams Classic (College/Open),2017-03-17,,,-0.1,Outdoor,https://www.tfrrs.org/results/48914/3038132/2017_Willie_Williams_Classic_College_Open/100-Hurdles,TFRRS all_performances
2,"Gajda, Diana",Arizona,Big 12,400m,2017,SO-2,,,53.89,seconds,2017 Willie Williams Classic (College/Open),2017-03-17,,,,Outdoor,https://www.tfrrs.org/results/48914/3038144/2017_Willie_Williams_Classic_College_Open/400-Meters,TFRRS all_performances
3,"Bonds, Tiana",Arizona,Big 12,100H,2017,JR-3,,,14.20,seconds,Pac-12 vs Big-10 Invitational,2017-03-24,,,0.4,Outdoor,https://www.tfrrs.org/results/50133/3055309/Pac-12_vs_Big-10_Invitational/100-Hurdles,TFRRS all_performances
4,"Sutton, April",Arizona,Big 12,100H,2017,FR-1,,,13.94,seconds,Pac-12 vs Big-10 Invitational,2017-03-24,,,0.4,Outdoor,https://www.tfrrs.org/results/50133/3055309/Pac-12_vs_Big-10_Invitational/100-Hurdles,TFRRS all_performances
5,"Bonds, Tiana",Arizona,Big 12,400m,2017,JR-3,,,59.51,seconds,Pac-12 vs Big-10 Invitational,2017-03-24,,,,Outdoor,https://www.tfrrs.org/results/50133/3055334/Pac-12_vs_Big-10_Invitational/400-Meters,TFRRS all_performances
6,"Gray, Jasper",Arizona,Big 12,400m,2017,SR-4,,,56.18,seconds,Pac-12 vs Big-10 Invitational,2017-03-24,,,,Outdoor,https://www.tfrrs.org/results/50133/3055334/Pac-12_vs_Big-10_Invitational/400-Meters,TFRRS all_performances
7,"Patton, Taylor",Arizona,Big 12,400m,2017,FR-1,,,1:04.95,seconds,Pac-12 vs Big-10 Invitational,2017-03-24,,,,Outdoor,https://www.tfrrs.org/results/50133/3055334/Pac-12_vs_Big-10_Invitational/400-Meters,TFRRS all_performances
8,"Sutton, April",Arizona,Big 12,400m,2017,FR-1,,,57.98,seconds,Pac-12 vs Big-10 Invitational,2017-03-24,,,,Outdoor,https://www.tfrrs.org/results/50133/3055334/Pac-12_vs_Big-10_Invitational/400-Meters,TFRRS all_performances
9,"Bonds, Tiana",Arizona,Big 12,100H,2017,JR-3,,,13.77,seconds,Jim Click Shootout,2017-04-08,,,0.5,Outdoor,https://www.tfrrs.org/results/49902/3097846/Jim_Click_Shootout/100-Hurdles,TFRRS all_performances
10,"Watson, Sage",Arizona,Big 12,400H,2017,SR-4,,,56.12,seconds,Jim Click Shootout,2017-04-08,,,,Outdoor,https://www.tfrrs.org/results/49902/3097849/Jim_Click_Shootout/400-Hurdles,TFRRS all_performances
11,"Bryant, Malia",Arizona,Big 12,400m,2017,FR-1,,,56.14,seconds,Jim Click Shootout,2017-04-08,,,,Outdoor,https://www.tfrrs.org/results/49902/3097869/Jim_Click_Shootout/400-Meters,TFRRS all_performances
12,"Gajda, Diana",Arizona,Big 12,400m,2017,SO-2,,,54.35,seconds,Jim Click Shootout,2017-04-08,,,,Outdoor,https://www.tfrrs.org/results/49902/3097869/Jim_Click_Shootout/400-Meters,TFRRS all_performances
13,"Gray, Jasper",Arizona,Big 12,400m,2017,SR-4,,,58.10,seconds,Jim Click Shootout,2017-04-08,,,,Outdoor,https://www.tfrrs.org/results/49902/3097869/Jim_Click_Shootout/400-Meters,TFRRS all_performances
14,"Sutton, April",Arizona,Big 12,100H,2017,FR-1,,,13.93,seconds,2017 Horned Frog Invitational,2017-04-15,,,1.3,Outdoor,https://www.tfrrs.org/results/49110/3122752/2017_Horned_Frog_Invitational/100-Hurdles,TFRRS all_performances
15,"Watson, Sage",Arizona,Big 12,400H,2017,SR-4,,,55.67,seconds,2017 Horned Frog Invitational,2017-04-15,,,,Outdoor,https://www.tfrrs.org/results/49110/3122762/2017_Horned_Frog_Invitational/400-Hurdles,TFRRS all_performances
16,"Bryant, Malia",Arizona,Big 12,400m,2017,FR-1,,,57.26,seconds,2017 Horned Frog Invitational,2017-04-15,,,,Outdoor,https://www.tfrrs.org/results/49110/3122760/2017_Horned_Frog_Invitational/400-Meters,TFRRS all_performances
17,"Gray, Jasper",Arizona,Big 12,400m,2017,SR-4,,,57.96,seconds,2017 Horned Frog Invitational,2017-04-15,,,,Outdoor,https://www.tfrrs.org/results/49110/3122760/2017_Horned_Frog_Invitational/400-Meters,TFRRS all_performances
18,"Bonds, Tiana",Arizona,Big 12,100H,2017,JR-3,,,13.96,seconds,Duel In The Desert- ASU vs Arizona,2017-04-28,,,0.2,Outdoor,https://www.tfrrs.org/results/51627/3163271/Duel_In_The_Desert-_ASU_vs_Arizona/100-Hurdles,TFRRS all_performances
19,"Johns, Rachel",Arizona,Big 12,100H,2017,JR-3,,,14.27,seconds,Duel In The Desert- ASU vs Arizona,2017-04-28,,,0.2,Outdoor,https://www.tfrrs.org/results/51627/3163271/Duel_In_The_Desert-_ASU_vs_Arizona/100-Hurdles,TFRRS all_performances
20,"Sutton, April",Arizona,Big 12,100H,2017,FR-1,,,13.90,seconds,Duel In The Desert- ASU vs Arizona,2017-04-28,,,0.2,Outdoor,https://www.tfrrs.org/results/51627/3163271/Duel_In_The_Desert-_ASU_vs_Arizona/100-Hurdles,TFRRS all_performances
21,"Bonds, Tiana",Arizona,Big 12,400H,2017,JR-3,,,1:02.76,seconds,Duel In The Desert- ASU vs Arizona,2017-04-28,,,,Outdoor,https://www.tfrrs.org/results/51627/3163249/Duel_In_The_Desert-_ASU_vs_Arizona/400-Hurdles,TFRRS all_performances
22,"Sutton, April",Arizona,Big 12,400H,2017,FR-1,,,1:02.49,seconds,Duel In The Desert- ASU vs Arizona,2017-04-28,,,,Outdoor,https://www.tfrrs.org/results/51627/3163249/Duel_In_The_Desert-_ASU_vs_Arizona/400-Hurdles,TFRRS all_performances
23,"Watson, Sage",Arizona,Big 12,400H,2017,SR-4,,,55.56,seconds,Duel In The Desert- ASU vs Arizona,2017-04-28,,,,Outdoor,https://www.tfrrs.org/results/51627/3163249/Duel_In_The_Desert-_ASU_vs_Arizona/400-Hurdles,TFRRS all_performances
24,"Bryant, Malia",Arizona,Big 12,400m,2017,FR-1,,,57.15,seconds,Duel In The Desert- ASU vs Arizona,2017-04-28,,,,Outdoor,https://www.tfrrs.org/results/51627/3163254/Duel_In_The_Desert-_ASU_vs_Arizona/400-Meters,TFRRS all_performances
25,"Gajda, Diana",Arizona,Big 12,400m,2017,SO-2,,,54.56,seconds,Duel In The Desert- ASU vs Arizona,2017-04-28,,,,Outdoor,https://www.tfrrs.org/results/51627/3163254/Duel_In_The_Desert-_ASU_vs_Arizona/400-Meters,TFRRS all_performances
26,"Gray, Jasper",Arizona,Big 12,400m,2017,SR-4,,,55.60,seconds,Duel In The Desert- ASU vs Arizona,2017-04-28,,,,Outdoor,https://www.tfrrs.org/results/51627/3163254/Duel_In_The_Desert-_ASU_vs_Arizona/400-Meters,TFRRS all_performances
27,"Hagens, Lisanne",Arizona,Big 12,Long Jump,2017,JR-3,,,5.26,m,Duel In The Desert- ASU vs Arizona,2017-04-28,,,1.6,Outdoor,https://www.tfrrs.org/results/51627/3163273/Duel_In_The_Desert-_ASU_vs_Arizona/Long-Jump,TFRRS all_performances
28,"Hagens, Lisanne",Arizona,Big 12,Long Jump,2017,JR-3,,,5.65,m,Duel In The Desert- ASU vs Arizona,2017-04-28,,,+0.0,Outdoor,https://www.tfrrs.org/results/51627/3163273/Duel_In_The_Desert-_ASU_vs_Arizona/Long-Jump,TFRRS all_performances
