athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
"Brown, Amari",Alabama,SEC,400m,2021,FR-1,,,58.55,seconds,Jaguar Opener,2021-03-05,,,,Outdoor,https://www.tfrrs.org/results/65991/4103099/Jaguar_Opener/400-Meters,TFRRS all_performances
"Duben, Lea",Alabama,SEC,400H,2021,FR-1,,,1:03.73,seconds,Auburn Tiger Track Classic 2021,2021-03-19,,,,Outdoor,https://www.tfrrs.org/results/66282/4129146/Auburn_Tiger_Track_Classic_2021/400-Hurdles,TFRRS all_performances
"Milani, Sydney",Alabama,SEC,400H,2021,SO-2,,,1:00.70,seconds,Auburn Tiger Track Classic 2021,2021-03-19,,,,Outdoor,https://www.tfrrs.org/results/66282/4129146/Auburn_Tiger_Track_Classic_2021/400-Hurdles,TFRRS all_performances
"Funcheon, Katie",Alabama,SEC,400m,2021,SR-4,,,55.37,seconds,Auburn Tiger Track Classic 2021,2021-03-19,,,,Outdoor,https://www.tfrrs.org/results/66282/4129180/Auburn_Tiger_Track_Classic_2021/400-Meters,TFRRS all_performances
"Holloway, Anya",Alabama,SEC,400m,2021,FR-1,,,1:00.24,seconds,Auburn Tiger Track Classic 2021,2021-03-19,,,,Outdoor,https://www.tfrrs.org/results/66282/4129180/Auburn_Tiger_Track_Classic_2021/400-Meters,TFRRS all_performances
"McDonald, Natassha",Alabama,SEC,400m,2021,SR-4,,,53.26,seconds,Auburn Tiger Track Classic 2021,2021-03-19,,,,Outdoor,https://www.tfrrs.org/results/66282/4129180/Auburn_Tiger_Track_Classic_2021/400-Meters,TFRRS all_performances
"Milani, Sydney",Alabama,SEC,400H,2021,SO-2,,,1:00.94,seconds,2021 Al Schmidt Bulldog Relays,2021-03-26,,,,Outdoor,https://www.tfrrs.org/results/67504/4151476/2021_Al_Schmidt_Bulldog_Relays/400-Hurdles,TFRRS all_performances
"Baker, D'Jai",Alabama,SEC,400m,2021,SR-4,,,54.82,seconds,2021 Al Schmidt Bulldog Relays,2021-03-26,,,,Outdoor,https://www.tfrrs.org/results/67504/4151471/2021_Al_Schmidt_Bulldog_Relays/400-Meters,TFRRS all_performances
"Funcheon, Katie",Alabama,SEC,400m,2021,SR-4,,,56.01,seconds,2021 Al Schmidt Bulldog Relays,2021-03-26,,,,Outdoor,https://www.tfrrs.org/results/67504/4151471/2021_Al_Schmidt_Bulldog_Relays/400-Meters,TFRRS all_performances
"McDonald, Natassha",Alabama,SEC,400m,2021,SR-4,,,52.31,seconds,2021 Al Schmidt Bulldog Relays,2021-03-26,,,,Outdoor,https://www.tfrrs.org/results/67504/4151471/2021_Al_Schmidt_Bulldog_Relays/400-Meters,TFRRS all_performances
"Mosley, Christal",Alabama,SEC,400m,2021,SO-2,,,54.13,seconds,2021 Al Schmidt Bulldog Relays,2021-03-26,,,,Outdoor,https://www.tfrrs.org/results/67504/4151471/2021_Al_Schmidt_Bulldog_Relays/400-Meters,TFRRS all_performances
"Kohtala, Camille",Alabama,SEC,Long Jump,2021,FR-1,,,5.07,m,2021 Al Schmidt Bulldog Relays,2021-03-26,,,+0.0,Outdoor,https://www.tfrrs.org/results/67504/4151466/2021_Al_Schmidt_Bulldog_Relays/Long-Jump,TFRRS all_performances
"Lightfoot, Katie",Alabama,SEC,Long Jump,2021,FR-1,,,4.95,m,2021 Al Schmidt Bulldog Relays,2021-03-26,,,1.8,Outdoor,https://www.tfrrs.org/results/67504/4151466/2021_Al_Schmidt_Bulldog_Relays/Long-Jump,TFRRS all_performances
"Ward, Aysia",Alabama,SEC,Long Jump,2021,FR-1,,,5.62,m,2021 Al Schmidt Bulldog Relays,2021-03-26,,,0.9,Outdoor,https://www.tfrrs.org/results/67504/4151466/2021_Al_Schmidt_Bulldog_Relays/Long-Jump,TFRRS all_performances
"Tolbert, Kayla",Alabama,SEC,100H,2021,FR-1,,,17.60,seconds,Pepsi Florida Relays,2021-04-02,,,0.7,Outdoor,https://www.tfrrs.org/results/68395/4166890/Pepsi_Florida_Relays/100-Hurdles,TFRRS all_performances
"Duben, Lea",Alabama,SEC,400H,2021,FR-1,,,1:04.15,seconds,Pepsi Florida Relays,2021-04-02,,,,Outdoor,https://www.tfrrs.org/results/68395/4166907/Pepsi_Florida_Relays/400-Hurdles,TFRRS all_performances
"Milani, Sydney",Alabama,SEC,400H,2021,SO-2,,,1:03.02,seconds,Pepsi Florida Relays,2021-04-02,,,,Outdoor,https://www.tfrrs.org/results/68395/4166907/Pepsi_Florida_Relays/400-Hurdles,TFRRS all_performances
"Funcheon, Katie",Alabama,SEC,400m,2021,SR-4,,,54.19,seconds,Pepsi Florida Relays,2021-04-02,,,,Outdoor,https://www.tfrrs.org/results/68395/4166914/Pepsi_Florida_Relays/400-Meters,TFRRS all_performances
"McDonald, Natassha",Alabama,SEC,400m,2021,SR-4,,,52.32,seconds,Pepsi Florida Relays,2021-04-02,,,,Outdoor,https://www.tfrrs.org/results/68395/4166914/Pepsi_Florida_Relays/400-Meters,TFRRS all_performances
"Mosley, Christal",Alabama,SEC,400m,2021,SO-2,,,53.10,seconds,Pepsi Florida Relays,2021-04-02,,,,Outdoor,https://www.tfrrs.org/results/68395/4166914/Pepsi_Florida_Relays/400-Meters,TFRRS all_performances
"Kohtala, Camille",Alabama,SEC,Long Jump,2021,FR-1,,,4.95,m,Pepsi Florida Relays,2021-04-02,,,1.7,Outdoor,https://www.tfrrs.org/results/68395/4166915/Pepsi_Florida_Relays/Long-Jump,TFRRS all_performances
"Lightfoot, Katie",Alabama,SEC,Long Jump,2021,FR-1,,,4.78,m,Pepsi Florida Relays,2021-04-02,,,1.5,Outdoor,https://www.tfrrs.org/results/68395/4166915/Pepsi_Florida_Relays/Long-Jump,TFRRS all_performances
"Ward, Aysia",Alabama,SEC,Long Jump,2021,FR-1,,,5.79,m,Pepsi Florida Relays,2021-04-02,,,0.4,Outdoor,https://www.tfrrs.org/results/68395/4166915/Pepsi_Florida_Relays/Long-Jump,TFRRS all_performances
"Duben, Lea",Alabama,SEC,400H,2021,FR-1,,,1:03.18,seconds,Crimson Tide Invitational,2021-04-08,,,,Outdoor,https://www.tfrrs.org/results/69271/4187912/Crimson_Tide_Invitational/400-Hurdles,TFRRS all_performances
"Milani, Sydney",Alabama,SEC,400H,2021,SO-2,,,1:00.96,seconds,Crimson Tide Invitational,2021-04-08,,,,Outdoor,https://www.tfrrs.org/results/69271/4187912/Crimson_Tide_Invitational/400-Hurdles,TFRRS all_performances
"Baker, D'Jai",Alabama,SEC,400m,2021,SR-4,,,54.77,seconds,Crimson Tide Invitational,2021-04-08,,,,Outdoor,https://www.tfrrs.org/results/69271/4187930/Crimson_Tide_Invitational/400-Meters,TFRRS all_performances
"Holloway, Anya",Alabama,SEC,400m,2021,FR-1,,,1:02.71,seconds,Crimson Tide Invitational,2021-04-08,,,,Outdoor,https://www.tfrrs.org/results/69271/4187930/Crimson_Tide_Invitational/400-Meters,TFRRS all_performances
"Milani, Sydney",Alabama,SEC,400H,2021,SO-2,,,1:00.37,seconds,LSU Alumni Gold,2021-04-23,,,,Outdoor,https://www.tfrrs.org/results/69204/4225228/LSU_Alumni_Gold/400-Hurdles,TFRRS all_performances
"McDonald, Natassha",Alabama,SEC,400m,2021,SR-4,,,51.94,seconds,LSU Alumni Gold,2021-04-23,,,,Outdoor,https://www.tfrrs.org/results/69204/4225224/LSU_Alumni_Gold/400-Meters,TFRRS all_performances
"Mosley, Christal",Alabama,SEC,400m,2021,SO-2,,,52.98,seconds,LSU Alumni Gold,2021-04-23,,,,Outdoor,https://www.tfrrs.org/results/69204/4225224/LSU_Alumni_Gold/400-Meters,TFRRS all_performances
"Milani, Sydney",Alabama,SEC,400H,2021,SO-2,,,1:00.05,seconds,LSU Invitational,2021-05-01,,,,Outdoor,https://www.tfrrs.org/results/68974/4241560/LSU_Invitational/400-Hurdles,TFRRS all_performances
"Funcheon, Katie",Alabama,SEC,400m,2021,SR-4,,,54.45,seconds,LSU Invitational,2021-05-01,,,,Outdoor,https://www.tfrrs.org/results/68974/4241558/LSU_Invitational/400-Meters,TFRRS all_performances
"Mosley, Christal",Alabama,SEC,400m,2021,SO-2,,,53.73,seconds,LSU Invitational,2021-05-01,,,,Outdoor,https://www.tfrrs.org/results/68974/4241558/LSU_Invitational/400-Meters,TFRRS all_performances
"Milani, Sydney",Alabama,SEC,400H,2021,SO-2,,,1:00.70,seconds,SEC Outdoor Track & Field Championships,2021-05-13,,,,Outdoor,https://www.tfrrs.org/results/70259/4262315/SEC_Outdoor_Track__Field_Championships/400-Hurdles,TFRRS all_performances
"Funcheon, Katie",Alabama,SEC,400m,2021,SR-4,,,54.99,seconds,SEC Outdoor Track & Field Championships,2021-05-13,,,,Outdoor,https://www.tfrrs.org/results/70259/4263439/SEC_Outdoor_Track__Field_Championships/400-Meters,TFRRS all_performances
"McDonald, Natassha",Alabama,SEC,400m,2021,SR-4,,,50.91,seconds,SEC Outdoor Track & Field Championships,2021-05-13,,,,Outdoor,https://www.tfrrs.org/results/70259/4263439/SEC_Outdoor_Track__Field_Championships/400-Meters,TFRRS all_performances
"McDonald, Natassha",Alabama,SEC,400m,2021,SR-4,,,51.13,seconds,SEC Outdoor Track & Field Championships,2021-05-13,,,,Outdoor,https://www.tfrrs.org/results/70259/4263439/SEC_Outdoor_Track__Field_Championships/400-Meters,TFRRS all_performances
"Mosley, Christal",Alabama,SEC,400m,2021,SO-2,,,54.13,seconds,SEC Outdoor Track & Field Championships,2021-05-13,,,,Outdoor,https://www.tfrrs.org/results/70259/4263439/SEC_Outdoor_Track__Field_Championships/400-Meters,TFRRS all_performances
"Milani, Sydney",Alabama,SEC,400H,2021,SO-2,,,1:00.61,seconds,NCAA Division I East Preliminary Round,2021-05-26,,,,Outdoor,https://www.tfrrs.org/results/70390/4273617/NCAA_Division_I_East_Preliminary_Round/400-Hurdles,TFRRS all_performances
"McDonald, Natassha",Alabama,SEC,400m,2021,SR-4,,,51.03,seconds,NCAA Division I East Preliminary Round,2021-05-26,,,,Outdoor,https://www.tfrrs.org/results/70390/4273634/NCAA_Division_I_East_Preliminary_Round/400-Meters,TFRRS all_performances
"McDonald, Natassha",Alabama,SEC,400m,2021,SR-4,,,52.23,seconds,NCAA Division I East Preliminary Round,2021-05-26,,,,Outdoor,https://www.tfrrs.org/results/70390/4273634/NCAA_Division_I_East_Preliminary_Round/400-Meters,TFRRS all_performances
"Mosley, Christal",Alabama,SEC,400m,2021,SO-2,,,52.66,seconds,NCAA Division I East Preliminary Round,2021-05-26,,,,Outdoor,https://www.tfrrs.org/results/70390/4273634/NCAA_Division_I_East_Preliminary_Round/400-Meters,TFRRS all_performances
"Mosley, Christal",Alabama,SEC,400m,2021,SO-2,,,53.16,seconds,NCAA Division I East Preliminary Round,2021-05-26,,,,Outdoor,https://www.tfrrs.org/results/70390/4273634/NCAA_Division_I_East_Preliminary_Round/400-Meters,TFRRS all_performances
"McDonald, Natassha",Alabama,SEC,400m,2021,SR-4,,,52.13,seconds,NCAA Division I Track & Field Championships,2021-06-09,,,,Outdoor,https://www.tfrrs.org/results/70445/4276119/NCAA_Division_I_Track__Field_Championships/400-Meters,TFRRS all_performances
