athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
"Hardamon, Madison",Illinois,Big Ten,400m,2024,SO-2,,,56.95,seconds,Hurricane Invitational,2024-03-15,,,,Outdoor,https://www.tfrrs.org/results/84682/5114868/Hurricane_Invitational/400-Meters,TFRRS all_performances
"McDowell, Jessica",Illinois,Big Ten,400m,2024,JR-3,,,51.41,seconds,Pepsi Florida Relays,2024-03-29,,,,Outdoor,https://www.tfrrs.org/results/83593/5148536/Pepsi_Florida_Relays/400-Meters,TFRRS all_performances
"Hardamon, Madison",Illinois,Big Ten,400m,2024,SO-2,,,56.86,seconds,Gary Wieneke Memorial,2024-04-13,,,,Outdoor,https://www.tfrrs.org/results/84503/5193615/Gary_Wieneke_Memorial_/400-Meters,TFRRS all_performances
"McDowell, Jessica",Illinois,Big Ten,400m,2024,JR-3,,,51.96,seconds,64th Annual Mt. SAC Relays,2024-04-17,,,,Outdoor,https://www.tfrrs.org/results/84352/5221484/64th_Annual_Mt_SAC_Relays/400-Meters,TFRRS all_performances
"Hardamon, Madison",Illinois,Big Ten,400m,2024,SO-2,,,57.20,seconds,Fighting Illini Tune-Up,2024-05-04,,,,Outdoor,https://www.tfrrs.org/results/86077/5262371/Fighting_Illini_Tune-Up_/400-Meters,TFRRS all_performances
"Oliver, Ashley",Illinois,Big Ten,400m,2024,SO-2,,,59.54,seconds,Fighting Illini Tune-Up,2024-05-04,,,,Outdoor,https://www.tfrrs.org/results/86077/5262371/Fighting_Illini_Tune-Up_/400-Meters,TFRRS all_performances
"McDowell, Jessica",Illinois,Big Ten,400m,2024,JR-3,,,50.98,seconds,NCAA Division I Outdoor Track & Field Championships,2024-05-05,,,,Outdoor,https://www.tfrrs.org/results/87017/5286189/NCAA_Division_I_Outdoor_Track__Field_Championships/400-Meters,TFRRS all_performances
"McDowell, Jessica",Illinois,Big Ten,400m,2024,JR-3,,,51.35,seconds,NCAA Division I Outdoor Track & Field Championships,2024-05-05,,,,Outdoor,https://www.tfrrs.org/results/87017/5286189/NCAA_Division_I_Outdoor_Track__Field_Championships/400-Meters,TFRRS all_performances
"McDowell, Jessica",Illinois,Big Ten,400m,2024,JR-3,,,51.73,seconds,Big Ten Outdoor Championships,2024-05-10,,,,Outdoor,https://www.tfrrs.org/results/86945/5277354/Big_Ten_Outdoor_Championships/400-Meters,TFRRS all_performances
"McDowell, Jessica",Illinois,Big Ten,400m,2024,JR-3,,,52.51,seconds,Big Ten Outdoor Championships,2024-05-10,,,,Outdoor,https://www.tfrrs.org/results/86945/5277354/Big_Ten_Outdoor_Championships/400-Meters,TFRRS all_performances
