athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
"Thomas, Markeeta",Clemson,ACC,100H,2018,JR-3,,,14.04,s,49er Classic,2018-03-15,Final,3,2.9,Outdoor,https://www.tfrrs.org/athletes/5640837/Clemson/Markeeta_Thomas,legacy_source_needs_review
"Thomas, Markeeta",Clemson,ACC,400H,2018,JR-3,,,1:00.01,s,49er Classic,2018-03-15,,,,Outdoor,https://www.tfrrs.org/results/54961/3348097/49er_Classic/400-Hurdles,TFRRS all_performances
"Warner, Lakeisha",Clemson,ACC,400H,2018,SO-2,,,1:04.14,s,49er Classic,2018-03-15,,,,Outdoor,https://www.tfrrs.org/results/54961/3348097/49er_Classic/400-Hurdles,TFRRS all_performances
"Williams, Ebony",Clemson,ACC,400H,2018,SO-2,,,1:04.75,s,49er Classic,2018-03-15,,,,Outdoor,https://www.tfrrs.org/results/54961/3348097/49er_Classic/400-Hurdles,TFRRS all_performances
"Clarke, Kendra",Clemson,ACC,400m,2018,JR-3,,,54.01,s,49er Classic,2018-03-15,,,,Outdoor,https://www.tfrrs.org/results/54961/3348120/49er_Classic/400-Meters,TFRRS all_performances
"Maydew, Dana",Clemson,ACC,400m,2018,SR-4,,,59.65,s,49er Classic,2018-03-15,,,,Outdoor,https://www.tfrrs.org/results/54961/3348120/49er_Classic/400-Meters,TFRRS all_performances
"McGowan, Imani",Clemson,ACC,400m,2018,JR-3,,,58.18,s,49er Classic,2018-03-15,,,,Outdoor,https://www.tfrrs.org/results/54961/3348120/49er_Classic/400-Meters,TFRRS all_performances
"Robinson, Tia",Clemson,ACC,400m,2018,SO-2,,,59.47,s,49er Classic,2018-03-15,,,,Outdoor,https://www.tfrrs.org/results/54961/3348120/49er_Classic/400-Meters,TFRRS all_performances
"Johnson, Valerie",Clemson,ACC,Long Jump,2018,JR-3,,,5.71,m,49er Classic,2018-03-15,,,1.1,Outdoor,https://www.tfrrs.org/results/54961/3348131/49er_Classic/Long-Jump,TFRRS all_performances
"Marshall, Sidney",Clemson,ACC,100H,2018,SO-2,,,14.03,s,UNF Spring Break Invitational,2018-03-23,,,1.4,Outdoor,https://www.tfrrs.org/results/51941/3362676/UNF_Spring_Break_Invitational/100-Hurdles,TFRRS all_performances
"Thomas, Markeeta",Clemson,ACC,100H,2018,JR-3,,,14.08,s,UNF Spring Break Invitational,2018-03-23,,,1.4,Outdoor,https://www.tfrrs.org/results/51941/3362676/UNF_Spring_Break_Invitational/100-Hurdles,TFRRS all_performances
"Williams, Ebony",Clemson,ACC,100H,2018,SO-2,,,13.79,s,UNF Spring Break Invitational,2018-03-23,,,1.4,Outdoor,https://www.tfrrs.org/results/51941/3362676/UNF_Spring_Break_Invitational/100-Hurdles,TFRRS all_performances
"Thomas, Markeeta",Clemson,ACC,400H,2018,JR-3,,,59.16,s,UNF Spring Break Invitational,2018-03-23,,,,Outdoor,https://www.tfrrs.org/results/51941/3362664/UNF_Spring_Break_Invitational/400-Hurdles,TFRRS all_performances
