index,athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
0,"Bonds, Talie",Arizona,Big 12,100H,2023,SR-4,,,13.28,seconds,Island Relays Bahamas,2023-03-17,,,-3.2,Outdoor,https://www.tfrrs.org/results/78004/4735482/Island_Relays_Bahamas/100-Hurdles,TFRRS all_performances
1,"Bonds, Talie",Arizona,Big 12,100H,2023,SR-4,,,13.80,seconds,Island Relays Bahamas,2023-03-17,,,-3.4,Outdoor,https://www.tfrrs.org/results/78004/4735482/Island_Relays_Bahamas/100-Hurdles,TFRRS all_performances
2,"Powers, Hollan",Arizona,Big 12,100H,2023,SO-2,,,14.51,seconds,Island Relays Bahamas,2023-03-17,,,-3.2,Outdoor,https://www.tfrrs.org/results/78004/4735482/Island_Relays_Bahamas/100-Hurdles,TFRRS all_performances
3,"Powers, Hollan",Arizona,Big 12,100H,2023,SO-2,,,15.41,seconds,Island Relays Bahamas,2023-03-17,,,-3.4,Outdoor,https://www.tfrrs.org/results/78004/4735482/Island_Relays_Bahamas/100-Hurdles,TFRRS all_performances
4,"Wise, Taylen",Arizona,Big 12,100H,2023,FR-1,,,14.77,seconds,Island Relays Bahamas,2023-03-17,,,-3.0,Outdoor,https://www.tfrrs.org/results/78004/4735482/Island_Relays_Bahamas/100-Hurdles,TFRRS all_performances
5,"Wise, Taylen",Arizona,Big 12,100H,2023,FR-1,,,18.08,seconds,Island Relays Bahamas,2023-03-17,,,-3.4,Outdoor,https://www.tfrrs.org/results/78004/4735482/Island_Relays_Bahamas/100-Hurdles,TFRRS all_performances
6,"Sanchez Nunez, Antonia",Arizona,Big 12,400m,2023,FR-1,,,56.85,seconds,Island Relays Bahamas,2023-03-17,,,,Outdoor,https://www.tfrrs.org/results/78004/4735473/Island_Relays_Bahamas/400-Meters,TFRRS all_performances
7,"Bonds, Talie",Arizona,Big 12,100H,2023,SR-4,,,12.96,seconds,2023 Willie Williams Classic/Dave Murray Distance Carnival,2023-03-24,,,0.9,Outdoor,https://www.tfrrs.org/results/76355/4747851/_2023_Willie_Williams_Classic_Dave_Murray_Distance_Carnival/100-Hurdles,TFRRS all_performances
8,"Lewis, Ajaysha",Arizona,Big 12,100H,2023,JR-3,,,14.36,seconds,2023 Willie Williams Classic/Dave Murray Distance Carnival,2023-03-24,,,0.9,Outdoor,https://www.tfrrs.org/results/76355/4747851/_2023_Willie_Williams_Classic_Dave_Murray_Distance_Carnival/100-Hurdles,TFRRS all_performances
9,"Sieben, Skylar",Arizona,Big 12,100H,2023,SR-4,,,14.30,seconds,2023 Willie Williams Classic/Dave Murray Distance Carnival,2023-03-24,,,0.9,Outdoor,https://www.tfrrs.org/results/76355/4747851/_2023_Willie_Williams_Classic_Dave_Murray_Distance_Carnival/100-Hurdles,TFRRS all_performances
10,"Aguilar-Perez, Camila",Arizona,Big 12,400m,2023,FR-1,,,55.35,seconds,2023 Willie Williams Classic/Dave Murray Distance Carnival,2023-03-24,,,,Outdoor,https://www.tfrrs.org/results/76355/4747893/_2023_Willie_Williams_Classic_Dave_Murray_Distance_Carnival/400-Meters,TFRRS all_performances
