athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
"Bonds, Talie",Arizona,Big 12,100H,2022,JR-3,,,13.26,seconds,2022 Willie Williams Classic/Dave Murray Distance Classic,2022-03-18,,,0.8,Outdoor,https://www.tfrrs.org/results/71096/4425789/2022_Willie_Williams_Classic_Dave_Murray_Distance_Classic/100-Hurdles,TFRRS all_performances
"Lewis, Ajaysha",Arizona,Big 12,100H,2022,SO-2,,,14.47,seconds,2022 Willie Williams Classic/Dave Murray Distance Classic,2022-03-18,,,0.8,Outdoor,https://www.tfrrs.org/results/71096/4425789/2022_Willie_Williams_Classic_Dave_Murray_Distance_Classic/100-Hurdles,TFRRS all_performances
"Powers, Hollan",Arizona,Big 12,100H,2022,FR-1,,,15.02,seconds,2022 Willie Williams Classic/Dave Murray Distance Classic,2022-03-18,,,1.9,Outdoor,https://www.tfrrs.org/results/71096/4425789/2022_Willie_Williams_Classic_Dave_Murray_Distance_Classic/100-Hurdles,TFRRS all_performances
"Sieben, Skylar",Arizona,Big 12,100H,2022,JR-3,,,14.20,seconds,2022 Willie Williams Classic/Dave Murray Distance Classic,2022-03-18,,,0.8,Outdoor,https://www.tfrrs.org/results/71096/4425789/2022_Willie_Williams_Classic_Dave_Murray_Distance_Classic/100-Hurdles,TFRRS all_performances
"Montgomery, Athena",Arizona,Big 12,400H,2022,SO-2,,,1:06.66,seconds,2022 Willie Williams Classic/Dave Murray Distance Classic,2022-03-18,,,,Outdoor,https://www.tfrrs.org/results/71096/4425796/2022_Willie_Williams_Classic_Dave_Murray_Distance_Classic/400-Hurdles,TFRRS all_performances
"Meisberger, Shannon",Arizona,Big 12,400m,2022,SR-4,,,52.61,seconds,2022 Willie Williams Classic/Dave Murray Distance Classic,2022-03-18,,,,Outdoor,https://www.tfrrs.org/results/71096/4425791/2022_Willie_Williams_Classic_Dave_Murray_Distance_Classic/400-Meters,TFRRS all_performances
"Montgomery, Athena",Arizona,Big 12,400m,2022,SO-2,,,58.31,seconds,2022 Willie Williams Classic/Dave Murray Distance Classic,2022-03-18,,,,Outdoor,https://www.tfrrs.org/results/71096/4425791/2022_Willie_Williams_Classic_Dave_Murray_Distance_Classic/400-Meters,TFRRS all_performances
"Bonds, Talie",Arizona,Big 12,100H,2022,JR-3,,,13.18,seconds,2022 ASU Invitational,2022-03-25,,,0.5,Outdoor,https://www.tfrrs.org/results/72833/4442857/2022_ASU_Invitational/100-Hurdles,TFRRS all_performances
"Bonds, Talie",Arizona,Big 12,100H,2022,JR-3,,,13.31,seconds,2022 ASU Invitational,2022-03-25,,,-0.1,Outdoor,https://www.tfrrs.org/results/72833/4442857/2022_ASU_Invitational/100-Hurdles,TFRRS all_performances
"Lewis, Ajaysha",Arizona,Big 12,100H,2022,SO-2,,,14.22,seconds,2022 ASU Invitational,2022-03-25,,,0.5,Outdoor,https://www.tfrrs.org/results/72833/4442857/2022_ASU_Invitational/100-Hurdles,TFRRS all_performances
