index,athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
0,"Aguilar-Perez, Camila",Arizona,Big 12,400m,2025,SR-4,,,55.26,seconds,Arizona Spring Break Fiesta,2025-03-08,,,,Outdoor,https://www.tfrrs.org/results/89403/5435855/Arizona_Spring_Break_Fiesta/400-Meters,TFRRS all_performances
1,"Hall, Keilee",Arizona,Big 12,400m,2025,SO-2,,,56.75,seconds,Arizona Spring Break Fiesta,2025-03-08,,,,Outdoor,https://www.tfrrs.org/results/89403/5435855/Arizona_Spring_Break_Fiesta/400-Meters,TFRRS all_performances
2,"Nordman, Brooke",Arizona,Big 12,400m,2025,SO-2,,,55.86,seconds,Arizona Spring Break Fiesta,2025-03-08,,,,Outdoor,https://www.tfrrs.org/results/89403/5435855/Arizona_Spring_Break_Fiesta/400-Meters,TFRRS all_performances
3,"Sanchez Nunez, Antonia",Arizona,Big 12,400m,2025,JR-3,,,56.42,seconds,Arizona Spring Break Fiesta,2025-03-08,,,,Outdoor,https://www.tfrrs.org/results/89403/5435855/Arizona_Spring_Break_Fiesta/400-Meters,TFRRS all_performances
4,"Simms, Ava",Arizona,Big 12,400m,2025,SO-2,,,53.65,seconds,Arizona Spring Break Fiesta,2025-03-08,,,,Outdoor,https://www.tfrrs.org/results/89403/5435855/Arizona_Spring_Break_Fiesta/400-Meters,TFRRS all_performances
5,"Woods, Cecelia",Arizona,Big 12,400m,2025,SO-2,,,58.37,seconds,Arizona Spring Break Fiesta,2025-03-08,,,,Outdoor,https://www.tfrrs.org/results/89403/5435855/Arizona_Spring_Break_Fiesta/400-Meters,TFRRS all_performances
6,"Wise, Taylen",Arizona,Big 12,100H,2025,JR-3,,,13.26,seconds,2025 Willie Williams Classic,2025-03-21,,,0.2,Outdoor,https://www.tfrrs.org/results/89572/5463764/2025_Willie_Williams_Classic/100-Hurdles,TFRRS all_performances
7,"Hall, Keilee",Arizona,Big 12,400H,2025,SO-2,,,59.75,seconds,2025 Willie Williams Classic,2025-03-21,,,,Outdoor,https://www.tfrrs.org/results/89572/5463813/2025_Willie_Williams_Classic/400-Hurdles,TFRRS all_performances
8,"Nordman, Brooke",Arizona,Big 12,400H,2025,SO-2,,,1:00.16,seconds,2025 Willie Williams Classic,2025-03-21,,,,Outdoor,https://www.tfrrs.org/results/89572/5463813/2025_Willie_Williams_Classic/400-Hurdles,TFRRS all_performances
9,"Sanchez Nunez, Antonia",Arizona,Big 12,400H,2025,JR-3,,,57.54,seconds,2025 Willie Williams Classic,2025-03-21,,,,Outdoor,https://www.tfrrs.org/results/89572/5463813/2025_Willie_Williams_Classic/400-Hurdles,TFRRS all_performances
10,"Woods, Cecelia",Arizona,Big 12,400H,2025,SO-2,,,1:00.60,seconds,2025 Willie Williams Classic,2025-03-21,,,,Outdoor,https://www.tfrrs.org/results/89572/5463813/2025_Willie_Williams_Classic/400-Hurdles,TFRRS all_performances
11,"Aguilar-Perez, Camila",Arizona,Big 12,400m,2025,SR-4,,,56.13,seconds,2025 Willie Williams Classic,2025-03-21,,,,Outdoor,https://www.tfrrs.org/results/89572/5463809/2025_Willie_Williams_Classic/400-Meters,TFRRS all_performances
12,"Nordman, Brooke",Arizona,Big 12,400m,2025,SO-2,,,55.83,seconds,2025 Willie Williams Classic,2025-03-21,,,,Outdoor,https://www.tfrrs.org/results/89572/5463809/2025_Willie_Williams_Classic/400-Meters,TFRRS all_performances
13,"Sanchez Nunez, Antonia",Arizona,Big 12,400m,2025,JR-3,,,53.56,seconds,2025 Willie Williams Classic,2025-03-21,,,,Outdoor,https://www.tfrrs.org/results/89572/5463809/2025_Willie_Williams_Classic/400-Meters,TFRRS all_performances
14,"Simms, Ava",Arizona,Big 12,400m,2025,SO-2,,,52.93,seconds,2025 Willie Williams Classic,2025-03-21,,,,Outdoor,https://www.tfrrs.org/results/89572/5463809/2025_Willie_Williams_Classic/400-Meters,TFRRS all_performances
15,"Woods, Cecelia",Arizona,Big 12,400m,2025,SO-2,,,57.61,seconds,2025 Willie Williams Classic,2025-03-21,,,,Outdoor,https://www.tfrrs.org/results/89572/5463809/2025_Willie_Williams_Classic/400-Meters,TFRRS all_performances
16,"Wise, Taylen",Arizona,Big 12,100H,2025,JR-3,,,13.33,seconds,2025 Jim Click Shootout & Multis,2025-04-04,,,0.3,Outdoor,https://www.tfrrs.org/results/89574/5511338/_2025_Jim_Click_Shootout__Multis/100-Hurdles,TFRRS all_performances
17,"Hall, Keilee",Arizona,Big 12,400H,2025,SO-2,,,59.38,seconds,2025 Jim Click Shootout & Multis,2025-04-04,,,,Outdoor,https://www.tfrrs.org/results/89574/5511341/_2025_Jim_Click_Shootout__Multis/400-Hurdles,TFRRS all_performances
18,"Nordman, Brooke",Arizona,Big 12,400H,2025,SO-2,,,59.26,seconds,2025 Jim Click Shootout & Multis,2025-04-04,,,,Outdoor,https://www.tfrrs.org/results/89574/5511341/_2025_Jim_Click_Shootout__Multis/400-Hurdles,TFRRS all_performances
19,"Sanchez Nunez, Antonia",Arizona,Big 12,400H,2025,JR-3,,,56.18,seconds,2025 Jim Click Shootout & Multis,2025-04-04,,,,Outdoor,https://www.tfrrs.org/results/89574/5511341/_2025_Jim_Click_Shootout__Multis/400-Hurdles,TFRRS all_performances
20,"Woods, Cecelia",Arizona,Big 12,400H,2025,SO-2,,,59.86,seconds,2025 Jim Click Shootout & Multis,2025-04-04,,,,Outdoor,https://www.tfrrs.org/results/89574/5511341/_2025_Jim_Click_Shootout__Multis/400-Hurdles,TFRRS all_performances
21,"Aguilar-Perez, Camila",Arizona,Big 12,400m,2025,SR-4,,,54.44,seconds,2025 Jim Click Shootout & Multis,2025-04-04,,,,Outdoor,https://www.tfrrs.org/results/89574/5511352/_2025_Jim_Click_Shootout__Multis/400-Meters,TFRRS all_performances
