index,athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
0,"Stoughton, Danni",Illinois,Big Ten,100H,2023,JR-3,,,15.11,seconds,RaferJohnson/Jackie Joyner-Kersee Collegiate,2023-03-25,,,-0.5,Outdoor,https://www.tfrrs.org/results/78348/4749341/RaferJohnson_Jackie_Joyner-Kersee_Collegiate/100-Hurdles,TFRRS all_performances
1,"Weaver, Kionnah",Illinois,Big Ten,100H,2023,SR-4,,,13.83,seconds,RaferJohnson/Jackie Joyner-Kersee Collegiate,2023-03-25,,,-2.4,Outdoor,https://www.tfrrs.org/results/78348/4749341/RaferJohnson_Jackie_Joyner-Kersee_Collegiate/100-Hurdles,TFRRS all_performances
2,"Weaver, Kionnah",Illinois,Big Ten,400H,2023,SR-4,,,1:00.30,seconds,RaferJohnson/Jackie Joyner-Kersee Collegiate,2023-03-25,,,,Outdoor,https://www.tfrrs.org/results/78348/4749333/RaferJohnson_Jackie_Joyner-Kersee_Collegiate/400-Hurdles,TFRRS all_performances
3,"Hardamon, Madison",Illinois,Big Ten,400m,2023,FR-1,,,56.03,seconds,RaferJohnson/Jackie Joyner-Kersee Collegiate,2023-03-25,,,,Outdoor,https://www.tfrrs.org/results/78348/4749356/RaferJohnson_Jackie_Joyner-Kersee_Collegiate/400-Meters,TFRRS all_performances
4,"Humphrey, Tacoria",Illinois,Big Ten,Long Jump,2023,JR-3,,,6.19,m,RaferJohnson/Jackie Joyner-Kersee Collegiate,2023-03-25,,,+0.0,Outdoor,https://www.tfrrs.org/results/78348/4749342/RaferJohnson_Jackie_Joyner-Kersee_Collegiate/Long-Jump,TFRRS all_performances
5,"Humphrey, Tacoria",Illinois,Big Ten,Long Jump,2023,JR-3,,,6.39,m,RaferJohnson/Jackie Joyner-Kersee Collegiate,2023-03-25,,,1.6,Outdoor,https://www.tfrrs.org/results/78348/4749342/RaferJohnson_Jackie_Joyner-Kersee_Collegiate/Long-Jump,TFRRS all_performances
6,"Rivers, Macee",Illinois,Big Ten,100H,2023,FR-1,,,13.94,seconds,Fighting Illini Challenge,2023-04-08,,,0.3,Outdoor,https://www.tfrrs.org/results/77863/4798934/Fighting_Illini_Challenge/100-Hurdles,TFRRS all_performances
7,"Stoughton, Danni",Illinois,Big Ten,400H,2023,JR-3,,,1:01.01,seconds,Fighting Illini Challenge,2023-04-08,,,,Outdoor,https://www.tfrrs.org/results/77863/4798913/Fighting_Illini_Challenge/400-Hurdles,TFRRS all_performances
8,"Weaver, Kionnah",Illinois,Big Ten,400H,2023,SR-4,,,1:03.85,seconds,Fighting Illini Challenge,2023-04-08,,,,Outdoor,https://www.tfrrs.org/results/77863/4798913/Fighting_Illini_Challenge/400-Hurdles,TFRRS all_performances
9,"Hardamon, Madison",Illinois,Big Ten,400m,2023,FR-1,,,56.14,seconds,Fighting Illini Challenge,2023-04-08,,,,Outdoor,https://www.tfrrs.org/results/77863/4798915/Fighting_Illini_Challenge/400-Meters,TFRRS all_performances
