athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
"Oliver, Ashley",Illinois,Big Ten,400H,2026,SR-4,,,1:01.46,seconds,2026 Pepsi Florida Relays,2026-04-03,,,,Outdoor,https://www.tfrrs.org/results/95329/6002560/2026_Pepsi_Florida_Relays/400-Hurdles,TFRRS all_performances
"Oliver, Ashley",Illinois,Big Ten,400H,2026,SR-4,,,1:00.11,seconds,Illini Deca-Jam,2026-04-09,,,,Outdoor,https://www.tfrrs.org/results/95951/5919726/Illini_Deca-Jam/400-Hurdles,TFRRS all_performances
"Gero-Holt, JaiCieonna",Illinois,Big Ten,100H,2026,FR-1,,,14.01,seconds,Tom Jones Memorial,2026-04-16,,,1.4,Outdoor,https://www.tfrrs.org/results/96536/5940616/Tom_Jones_Memorial/100-Hurdles,TFRRS all_performances
"Humphries, Meagan",Illinois,Big Ten,100H,2026,SO-2,,,13.70,seconds,Tom Jones Memorial,2026-04-16,,,1.4,Outdoor,https://www.tfrrs.org/results/96536/5940616/Tom_Jones_Memorial/100-Hurdles,TFRRS all_performances
"Oliver, Ashley",Illinois,Big Ten,400H,2026,SR-4,,,59.54,seconds,Tom Jones Memorial,2026-04-16,,,,Outdoor,https://www.tfrrs.org/results/96536/5940567/Tom_Jones_Memorial/400-Hurdles,TFRRS all_performances
"Oliver, Ashley",Illinois,Big Ten,400H,2026,SR-4,,,1:01.99,seconds,Gary Wieneke Memorial,2026-05-01,,,,Outdoor,https://www.tfrrs.org/results/96393/6001274/Gary_Wieneke_Memorial/400-Hurdles,TFRRS all_performances
"Gero-Holt, JaiCieonna",Illinois,Big Ten,100H,2026,FR-1,,,14.79,seconds,Illini Tune-Up,2026-05-08,,,-0.1,Outdoor,https://www.tfrrs.org/results/96684/5988646/Illini_Tune-Up/100-Hurdles,TFRRS all_performances
"Humphries, Meagan",Illinois,Big Ten,100H,2026,SO-2,,,13.90,seconds,Illini Tune-Up,2026-05-08,,,-0.1,Outdoor,https://www.tfrrs.org/results/96684/5988646/Illini_Tune-Up/100-Hurdles,TFRRS all_performances
"Annan, Bridget",Illinois,Big Ten,400m,2026,JR-3,,,57.12,seconds,Illini Tune-Up,2026-05-08,,,,Outdoor,https://www.tfrrs.org/results/96684/5988651/Illini_Tune-Up/400-Meters,TFRRS all_performances
"Oliver, Ashley",Illinois,Big Ten,400m,2026,SR-4,,,55.28,seconds,Illini Tune-Up,2026-05-08,,,,Outdoor,https://www.tfrrs.org/results/96684/5988651/Illini_Tune-Up/400-Meters,TFRRS all_performances
"Gero-Holt, JaiCieonna",Illinois,Big Ten,100H,2026,FR-1,,,13.71,seconds,2026 Big Ten Outdoor Track & Field Championships,2026-05-15,,,2.4,Outdoor,https://www.tfrrs.org/results/96121/6000082/2026_Big_Ten_Outdoor_Track__Field_Championships/100-Hurdles,TFRRS all_performances
"Humphries, Meagan",Illinois,Big Ten,100H,2026,SO-2,,,13.53,seconds,2026 Big Ten Outdoor Track & Field Championships,2026-05-15,,,1.6,Outdoor,https://www.tfrrs.org/results/96121/6000082/2026_Big_Ten_Outdoor_Track__Field_Championships/100-Hurdles,TFRRS all_performances
"Oliver, Ashley",Illinois,Big Ten,400H,2026,SR-4,,,59.21,seconds,2026 Big Ten Outdoor Track & Field Championships,2026-05-15,,,,Outdoor,https://www.tfrrs.org/results/96121/6000061/2026_Big_Ten_Outdoor_Track__Field_Championships/400-Hurdles,TFRRS all_performances
"Gero-Holt, JaiCieonna",Illinois,Big Ten,100H,2026,FR-1,,,13.80,seconds,NCAA Division I Outdoor Track & Field Championships,2026-06-10,,,0.3,Outdoor,https://www.tfrrs.org/results/96875/6005730/NCAA_Division_I_Outdoor_Track__Field_Championships/100-Hurdles,TFRRS all_performances
"Humphries, Meagan",Illinois,Big Ten,100H,2026,SO-2,,,13.74,seconds,NCAA Division I Outdoor Track & Field Championships,2026-06-10,,,-1.1,Outdoor,https://www.tfrrs.org/results/96875/6005730/NCAA_Division_I_Outdoor_Track__Field_Championships/100-Hurdles,TFRRS all_performances
"Medina, Luciana",Nebraska,Big Ten,400m,2026,SO-2,,,57.17,seconds,Husker Spring Kick-Off,2026-04-03,,,,Outdoor,https://www.tfrrs.org/results/95763/5894896/Husker_Spring_Kick-Off/400-Meters,TFRRS all_performances
"Goetz, Ava",Nebraska,Big Ten,100H,2026,SO-2,,,14.69,seconds,Spec Towns Invitational,2026-04-09,,,2.0,Outdoor,https://www.tfrrs.org/results/96380/5924778/Spec_Towns_Invitational/100-Hurdles,TFRRS all_performances
"Parsons, Grace",Nebraska,Big Ten,100H,2026,SO-2,,,14.48,seconds,Spec Towns Invitational,2026-04-09,,,0.5,Outdoor,https://www.tfrrs.org/results/96380/5924778/Spec_Towns_Invitational/100-Hurdles,TFRRS all_performances
"Artley, Abrielle",Nebraska,Big Ten,400H,2026,JR-3,,,58.74,seconds,Spec Towns Invitational,2026-04-09,,,,Outdoor,https://www.tfrrs.org/results/96380/5924740/Spec_Towns_Invitational/400-Hurdles,TFRRS all_performances
"Belquist, Kelsie",Nebraska,Big Ten,400H,2026,SO-2,,,55.96,seconds,Spec Towns Invitational,2026-04-09,,,,Outdoor,https://www.tfrrs.org/results/96380/5924740/Spec_Towns_Invitational/400-Hurdles,TFRRS all_performances
"Artley, Abrielle",Nebraska,Big Ten,400m,2026,JR-3,,,53.30,seconds,Spec Towns Invitational,2026-04-09,,,,Outdoor,https://www.tfrrs.org/results/96380/5924738/Spec_Towns_Invitational/400-Meters,TFRRS all_performances
"Belquist, Kelsie",Nebraska,Big Ten,400m,2026,SO-2,,,52.41,seconds,Spec Towns Invitational,2026-04-09,,,,Outdoor,https://www.tfrrs.org/results/96380/5924738/Spec_Towns_Invitational/400-Meters,TFRRS all_performances
