athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
"Aduma, Amira",Illinois,Big Ten,400H,2021,JR-3,,,1:13.13,seconds,Big Ten Invite #1,2021-03-26,,,,Outdoor,https://www.tfrrs.org/results/67820/4148913/Big_Ten_Invite_1/400-Hurdles,TFRRS all_performances
"Stoughton, Danni",Illinois,Big Ten,400m,2021,FR-1,,,57.93,seconds,Big Ten Invite #1,2021-03-26,,,,Outdoor,https://www.tfrrs.org/results/67820/4148921/Big_Ten_Invite_1/400-Meters,TFRRS all_performances
"McDowell, Jessica",Illinois,Big Ten,400m,2021,FR-1,,,55.30,seconds,2021 B1G North Florida Invitational,2021-04-02,,,,Outdoor,https://www.tfrrs.org/results/68310/4169314/2021_B1G_North_Florida_Invitational_/400-Meters,TFRRS all_performances
"Nwoko, Chisom",Illinois,Big Ten,400m,2021,SR-4,,,57.51,seconds,2021 B1G North Florida Invitational,2021-04-02,,,,Outdoor,https://www.tfrrs.org/results/68310/4169319/2021_B1G_North_Florida_Invitational_/400-Meters,TFRRS all_performances
"Phillips, Felicia",Illinois,Big Ten,400m,2021,SR-4,,,56.86,seconds,2021 B1G North Florida Invitational,2021-04-02,,,,Outdoor,https://www.tfrrs.org/results/68310/4169314/2021_B1G_North_Florida_Invitational_/400-Meters,TFRRS all_performances
"Stoughton, Danni",Illinois,Big Ten,400m,2021,FR-1,,,59.89,seconds,2021 B1G North Florida Invitational,2021-04-02,,,,Outdoor,https://www.tfrrs.org/results/68310/4169314/2021_B1G_North_Florida_Invitational_/400-Meters,TFRRS all_performances
"Aduma, Amira",Illinois,Big Ten,400H,2021,JR-3,,,1:00.27,seconds,Big Ten Invite #2,2021-04-09,,,,Outdoor,https://www.tfrrs.org/results/67821/4183510/Big_Ten_Invite_2/400-Hurdles,TFRRS all_performances
"Franklin, Jessica",Illinois,Big Ten,400H,2021,FR-1,,,59.35,seconds,Big Ten Invite #2,2021-04-09,,,,Outdoor,https://www.tfrrs.org/results/67821/4183510/Big_Ten_Invite_2/400-Hurdles,TFRRS all_performances
"Nwoko, Chisom",Illinois,Big Ten,400m,2021,SR-4,,,55.72,seconds,Big Ten Invite #2,2021-04-09,,,,Outdoor,https://www.tfrrs.org/results/67821/4183521/Big_Ten_Invite_2/400-Meters,TFRRS all_performances
"Stoughton, Danni",Illinois,Big Ten,400m,2021,FR-1,,,57.61,seconds,Big Ten Invite #2,2021-04-09,,,,Outdoor,https://www.tfrrs.org/results/67821/4183521/Big_Ten_Invite_2/400-Meters,TFRRS all_performances
"Seay, Maya",Illinois,Big Ten,100H,2021,SR-4,,,14.86,seconds,Husker Big 10 Invite,2021-04-16,,,-1.0,Outdoor,https://www.tfrrs.org/results/68125/4208783/Husker_Big_10_Invite/100-Hurdles,TFRRS all_performances
"Aduma, Amira",Illinois,Big Ten,400H,2021,JR-3,,,1:02.17,seconds,Husker Big 10 Invite,2021-04-16,,,,Outdoor,https://www.tfrrs.org/results/68125/4208825/Husker_Big_10_Invite/400-Hurdles,TFRRS all_performances
"Franklin, Jessica",Illinois,Big Ten,400H,2021,FR-1,,,1:00.38,seconds,Husker Big 10 Invite,2021-04-16,,,,Outdoor,https://www.tfrrs.org/results/68125/4208825/Husker_Big_10_Invite/400-Hurdles,TFRRS all_performances
"McDowell, Jessica",Illinois,Big Ten,400m,2021,FR-1,,,53.71,seconds,Husker Big 10 Invite,2021-04-16,,,,Outdoor,https://www.tfrrs.org/results/68125/4208815/Husker_Big_10_Invite/400-Meters,TFRRS all_performances
"Nwoko, Chisom",Illinois,Big Ten,400m,2021,SR-4,,,57.56,seconds,Husker Big 10 Invite,2021-04-16,,,,Outdoor,https://www.tfrrs.org/results/68125/4208815/Husker_Big_10_Invite/400-Meters,TFRRS all_performances
"Phillips, Felicia",Illinois,Big Ten,400m,2021,SR-4,,,56.59,seconds,Husker Big 10 Invite,2021-04-16,,,,Outdoor,https://www.tfrrs.org/results/68125/4208815/Husker_Big_10_Invite/400-Meters,TFRRS all_performances
"Stoughton, Danni",Illinois,Big Ten,400m,2021,FR-1,,,58.06,seconds,Husker Big 10 Invite,2021-04-16,,,,Outdoor,https://www.tfrrs.org/results/68125/4208815/Husker_Big_10_Invite/400-Meters,TFRRS all_performances
"Franklin, Jessica",Illinois,Big Ten,100H,2021,FR-1,,,14.60,seconds,Fighting Illini Big Ten Relays,2021-04-23,,,1.8,Outdoor,https://www.tfrrs.org/results/69823/4225387/Fighting_Illini_Big_Ten_Relays/100-Hurdles,TFRRS all_performances
"Seay, Maya",Illinois,Big Ten,100H,2021,SR-4,,,14.63,seconds,Fighting Illini Big Ten Relays,2021-04-23,,,0.5,Outdoor,https://www.tfrrs.org/results/69823/4225387/Fighting_Illini_Big_Ten_Relays/100-Hurdles,TFRRS all_performances
"Franklin, Jessica",Illinois,Big Ten,400H,2021,FR-1,,,58.99,seconds,Fighting Illini Big Ten Relays,2021-04-23,,,,Outdoor,https://www.tfrrs.org/results/69823/4225369/Fighting_Illini_Big_Ten_Relays/400-Hurdles,TFRRS all_performances
"McDowell, Jessica",Illinois,Big Ten,400m,2021,FR-1,,,54.28,seconds,Fighting Illini Big Ten Relays,2021-04-23,,,,Outdoor,https://www.tfrrs.org/results/69823/4225385/Fighting_Illini_Big_Ten_Relays/400-Meters,TFRRS all_performances
"Phillips, Felicia",Illinois,Big Ten,400m,2021,SR-4,,,58.30,seconds,Fighting Illini Big Ten Relays,2021-04-23,,,,Outdoor,https://www.tfrrs.org/results/69823/4225385/Fighting_Illini_Big_Ten_Relays/400-Meters,TFRRS all_performances
"Stoughton, Danni",Illinois,Big Ten,400m,2021,FR-1,,,59.02,seconds,Fighting Illini Big Ten Relays,2021-04-23,,,,Outdoor,https://www.tfrrs.org/results/69823/4225385/Fighting_Illini_Big_Ten_Relays/400-Meters,TFRRS all_performances
"Franklin, Jessica",Illinois,Big Ten,100H,2021,FR-1,,,14.72,seconds,M City Classic,2021-04-30,,,-0.4,Outdoor,https://www.tfrrs.org/results/69500/4241447/M_City_Classic/100-Hurdles,TFRRS all_performances
"Seay, Maya",Illinois,Big Ten,100H,2021,SR-4,,,14.03,seconds,M City Classic,2021-04-30,,,-0.4,Outdoor,https://www.tfrrs.org/results/69500/4241447/M_City_Classic/100-Hurdles,TFRRS all_performances
"Seay, Maya",Illinois,Big Ten,100H,2021,SR-4,,,14.20,seconds,M City Classic,2021-04-30,,,-0.4,Outdoor,https://www.tfrrs.org/results/69500/4241447/M_City_Classic/100-Hurdles,TFRRS all_performances
"McDowell, Jessica",Illinois,Big Ten,400m,2021,FR-1,,,53.37,seconds,M City Classic,2021-04-30,,,,Outdoor,https://www.tfrrs.org/results/69500/4241454/M_City_Classic/400-Meters,TFRRS all_performances
"Nwoko, Chisom",Illinois,Big Ten,400m,2021,SR-4,,,55.34,seconds,M City Classic,2021-04-30,,,,Outdoor,https://www.tfrrs.org/results/69500/4241454/M_City_Classic/400-Meters,TFRRS all_performances
"Stoughton, Danni",Illinois,Big Ten,400m,2021,FR-1,,,57.72,seconds,M City Classic,2021-04-30,,,,Outdoor,https://www.tfrrs.org/results/69500/4241454/M_City_Classic/400-Meters,TFRRS all_performances
"Franklin, Jessica",Illinois,Big Ten,100H,2021,FR-1,,,14.50,seconds,Big Ten Outdoor Track & Field Championships,2021-05-14,,,1.0,Outdoor,https://www.tfrrs.org/results/70289/4268587/Big_Ten_Outdoor_Track__Field_Championships/100-Hurdles,TFRRS all_performances
"Seay, Maya",Illinois,Big Ten,100H,2021,SR-4,,,13.77,seconds,Big Ten Outdoor Track & Field Championships,2021-05-14,,,1.1,Outdoor,https://www.tfrrs.org/results/70289/4266603/Big_Ten_Outdoor_Track__Field_Championships/100-Hurdles,TFRRS all_performances
"Franklin, Jessica",Illinois,Big Ten,400H,2021,FR-1,,,1:00.00,seconds,Big Ten Outdoor Track & Field Championships,2021-05-14,,,,Outdoor,https://www.tfrrs.org/results/70289/4266580/Big_Ten_Outdoor_Track__Field_Championships/400-Hurdles,TFRRS all_performances
"Franklin, Jessica",Illinois,Big Ten,400H,2021,FR-1,,,1:00.75,seconds,Big Ten Outdoor Track & Field Championships,2021-05-14,,,,Outdoor,https://www.tfrrs.org/results/70289/4266580/Big_Ten_Outdoor_Track__Field_Championships/400-Hurdles,TFRRS all_performances
"McDowell, Jessica",Illinois,Big Ten,400m,2021,FR-1,,,52.91,seconds,Big Ten Outdoor Track & Field Championships,2021-05-14,,,,Outdoor,https://www.tfrrs.org/results/70289/4266602/Big_Ten_Outdoor_Track__Field_Championships/400-Meters,TFRRS all_performances
"McDowell, Jessica",Illinois,Big Ten,400m,2021,FR-1,,,53.60,seconds,Big Ten Outdoor Track & Field Championships,2021-05-14,,,,Outdoor,https://www.tfrrs.org/results/70289/4266602/Big_Ten_Outdoor_Track__Field_Championships/400-Meters,TFRRS all_performances
"Nwoko, Chisom",Illinois,Big Ten,400m,2021,SR-4,,,56.01,seconds,Big Ten Outdoor Track & Field Championships,2021-05-14,,,,Outdoor,https://www.tfrrs.org/results/70289/4266602/Big_Ten_Outdoor_Track__Field_Championships/400-Meters,TFRRS all_performances
