index,athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
0,"Wise, Taylen",Arizona,Big 12,100H,2024,SO-2,,,14.05,seconds,2024 Arizona Spring Break Fiesta,2024-03-16,,,-2.3,Outdoor,https://www.tfrrs.org/results/81574/5113940/2024_Arizona_Spring_Break_Fiesta/100-Hurdles,TFRRS all_performances
1,"Hall, Keilee",Arizona,Big 12,400H,2024,FR-1,,,1:00.72,seconds,2024 Arizona Spring Break Fiesta,2024-03-16,,,,Outdoor,https://www.tfrrs.org/results/81574/5113945/2024_Arizona_Spring_Break_Fiesta/400-Hurdles,TFRRS all_performances
2,"Montgomery, Athena",Arizona,Big 12,400H,2024,SR-4,,,1:03.77,seconds,2024 Arizona Spring Break Fiesta,2024-03-16,,,,Outdoor,https://www.tfrrs.org/results/81574/5113945/2024_Arizona_Spring_Break_Fiesta/400-Hurdles,TFRRS all_performances
3,"Sanchez Nunez, Antonia",Arizona,Big 12,400H,2024,SO-2,,,58.51,seconds,2024 Arizona Spring Break Fiesta,2024-03-16,,,,Outdoor,https://www.tfrrs.org/results/81574/5113945/2024_Arizona_Spring_Break_Fiesta/400-Hurdles,TFRRS all_performances
4,"Aguilar-Perez, Camila",Arizona,Big 12,400m,2024,SO-2,,,54.23,seconds,2024 Arizona Spring Break Fiesta,2024-03-16,,,,Outdoor,https://www.tfrrs.org/results/81574/5113952/2024_Arizona_Spring_Break_Fiesta/400-Meters,TFRRS all_performances
5,"Simms, Ava",Arizona,Big 12,400m,2024,FR-1,,,54.74,seconds,2024 Arizona Spring Break Fiesta,2024-03-16,,,,Outdoor,https://www.tfrrs.org/results/81574/5113952/2024_Arizona_Spring_Break_Fiesta/400-Meters,TFRRS all_performances
6,"Ford, Lauryn",Arizona,Big 12,Long Jump,2024,SR-4,,,5.47,m,2024 Arizona Spring Break Fiesta,2024-03-16,,,-0.5,Outdoor,https://www.tfrrs.org/results/81574/5113959/2024_Arizona_Spring_Break_Fiesta/Long-Jump,TFRRS all_performances
7,"Ford, Lauryn",Arizona,Big 12,Long Jump,2024,SR-4,,,5.83,m,2024 Arizona Spring Break Fiesta,2024-03-16,,,+0.0,Outdoor,https://www.tfrrs.org/results/81574/5113959/2024_Arizona_Spring_Break_Fiesta/Long-Jump,TFRRS all_performances
8,"Hall, Keilee",Arizona,Big 12,400H,2024,FR-1,,,59.13,seconds,2024 Willie Williams Classic,2024-03-22,,,,Outdoor,https://www.tfrrs.org/results/81575/5128206/_2024_Willie_Williams_Classic/400-Hurdles,TFRRS all_performances
9,"Montgomery, Athena",Arizona,Big 12,400H,2024,SR-4,,,1:02.93,seconds,2024 Willie Williams Classic,2024-03-22,,,,Outdoor,https://www.tfrrs.org/results/81575/5128206/_2024_Willie_Williams_Classic/400-Hurdles,TFRRS all_performances
10,"Sanchez Nunez, Antonia",Arizona,Big 12,400H,2024,SO-2,,,57.75,seconds,2024 Willie Williams Classic,2024-03-22,,,,Outdoor,https://www.tfrrs.org/results/81575/5128206/_2024_Willie_Williams_Classic/400-Hurdles,TFRRS all_performances
11,"Woods, Cecelia",Arizona,Big 12,400H,2024,FR-1,,,1:04.34,seconds,2024 Willie Williams Classic,2024-03-22,,,,Outdoor,https://www.tfrrs.org/results/81575/5128206/_2024_Willie_Williams_Classic/400-Hurdles,TFRRS all_performances
12,"Hall, Keilee",Arizona,Big 12,400m,2024,FR-1,,,56.23,seconds,2024 Willie Williams Classic,2024-03-22,,,,Outdoor,https://www.tfrrs.org/results/81575/5128201/_2024_Willie_Williams_Classic/400-Meters,TFRRS all_performances
13,"Montgomery, Athena",Arizona,Big 12,400m,2024,SR-4,,,58.08,seconds,2024 Willie Williams Classic,2024-03-22,,,,Outdoor,https://www.tfrrs.org/results/81575/5128201/_2024_Willie_Williams_Classic/400-Meters,TFRRS all_performances
14,"Sanchez Nunez, Antonia",Arizona,Big 12,400m,2024,SO-2,,,54.80,seconds,2024 Willie Williams Classic,2024-03-22,,,,Outdoor,https://www.tfrrs.org/results/81575/5128201/_2024_Willie_Williams_Classic/400-Meters,TFRRS all_performances
15,"Simms, Ava",Arizona,Big 12,400m,2024,FR-1,,,53.83,seconds,2024 Willie Williams Classic,2024-03-22,,,,Outdoor,https://www.tfrrs.org/results/81575/5128201/_2024_Willie_Williams_Classic/400-Meters,TFRRS all_performances
16,"Bosko, Jenica",Arizona,Big 12,Long Jump,2024,JR-3,,,5.84,m,2024 Willie Williams Classic,2024-03-22,,,0.3,Outdoor,https://www.tfrrs.org/results/81575/5128181/_2024_Willie_Williams_Classic/Long-Jump,TFRRS all_performances
17,"Bosko, Jenica",Arizona,Big 12,Long Jump,2024,JR-3,,,6.50,m,2024 Willie Williams Classic,2024-03-22,,,+0.0,Outdoor,https://www.tfrrs.org/results/81575/5128181/_2024_Willie_Williams_Classic/Long-Jump,TFRRS all_performances
18,"Ford, Lauryn",Arizona,Big 12,Long Jump,2024,SR-4,,,5.79,m,2024 Willie Williams Classic,2024-03-22,,,0.8,Outdoor,https://www.tfrrs.org/results/81575/5128181/_2024_Willie_Williams_Classic/Long-Jump,TFRRS all_performances
19,"Ford, Lauryn",Arizona,Big 12,Long Jump,2024,SR-4,,,5.83,m,2024 Willie Williams Classic,2024-03-22,,,+0.0,Outdoor,https://www.tfrrs.org/results/81575/5128181/_2024_Willie_Williams_Classic/Long-Jump,TFRRS all_performances
20,"Ford, Lauryn",Arizona,Big 12,Long Jump,2024,SR-4,,,5.95,m,2024 Willie Williams Classic,2024-03-22,,,+0.0,Outdoor,https://www.tfrrs.org/results/81575/5128181/_2024_Willie_Williams_Classic/Long-Jump,TFRRS all_performances
21,"Ford, Lauryn",Arizona,Big 12,Long Jump,2024,SR-4,,,6.01,m,2024 Willie Williams Classic,2024-03-22,,,+0.0,Outdoor,https://www.tfrrs.org/results/81575/5128181/_2024_Willie_Williams_Classic/Long-Jump,TFRRS all_performances
22,"Ford, Lauryn",Arizona,Big 12,Long Jump,2024,SR-4,,,6.08,m,2024 Willie Williams Classic,2024-03-22,,,0.3,Outdoor,https://www.tfrrs.org/results/81575/5128181/_2024_Willie_Williams_Classic/Long-Jump,TFRRS all_performances
23,"Vanek, Sydnie",Arizona,Big 12,Long Jump,2024,FR-1,,,5.75,m,2024 Willie Williams Classic,2024-03-22,,,0.3,Outdoor,https://www.tfrrs.org/results/81575/5128181/_2024_Willie_Williams_Classic/Long-Jump,TFRRS all_performances
24,"Vanek, Sydnie",Arizona,Big 12,Long Jump,2024,FR-1,,,5.78,m,2024 Willie Williams Classic,2024-03-22,,,+0.0,Outdoor,https://www.tfrrs.org/results/81575/5128181/_2024_Willie_Williams_Classic/Long-Jump,TFRRS all_performances
