athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
Sharrika Barnett,Florida,SEC,400m,2019,SR,,,50.96,seconds,Florida Relays,2019-03-28,Final,1,,Outdoor,https://www.tfrrs.org/athletes/5651818,Verified 2019 outdoor result; audited against available official/indexed sources
Sharrika Barnett,Florida,SEC,400m,2019,SR,,,51.88,seconds,UF Tom Jones Memorial,2019-04-26,Final,4,,Outdoor,https://www.tfrrs.org/athletes/5651818,Verified 2019 outdoor result; audited against available official/indexed sources
Sharrika Barnett,Florida,SEC,400m,2019,SR,,,52.12,seconds,SEC Outdoor Track & Field Championships,2019-05-09,Prelim,5,,Outdoor,https://www.tfrrs.org/athletes/5651818,Verified 2019 outdoor result; audited against available official/indexed sources
Sharrika Barnett,Florida,SEC,400m,2019,SR,,,53.41,seconds,SEC Outdoor Track & Field Championships,2019-05-09,Final,9,,Outdoor,https://www.tfrrs.org/athletes/5651818,Verified 2019 outdoor result; audited against available official/indexed sources
Sharrika Barnett,Florida,SEC,400m,2019,SR,,,52.21,seconds,NCAA Division I East Region Preliminary Rounds,2019-05-23,First Round,4,,Outdoor,https://www.tfrrs.org/athletes/5651818,Verified 2019 outdoor result; audited against available official/indexed sources
Sharrika Barnett,Florida,SEC,400m,2019,SR,,,51.35,seconds,NCAA Division I East Region Preliminary Rounds,2019-05-23,Quarterfinal,2,,Outdoor,https://www.tfrrs.org/athletes/5651818,Verified 2019 outdoor result; audited against available official/indexed sources
Sharrika Barnett,Florida,SEC,400m,2019,SR,,,51.62,seconds,NCAA Division I Outdoor Track & Field Championships,2019-06-05,Semifinal,2,,Outdoor,https://www.tfrrs.org/athletes/5651818,Verified 2019 outdoor result; audited against available official/indexed sources
Sharrika Barnett,Florida,SEC,400m,2019,SR,,,51.00,seconds,NCAA Division I Outdoor Track & Field Championships,2019-06-05,Final,3,,Outdoor,https://www.tfrrs.org/athletes/5651818,Verified 2019 outdoor result; audited against available official/indexed sources
Doneisha Anderson,Florida,SEC,400m,2019,FR,,,52.77,seconds,LSU Alumni Gold,2019-04-20,Final,4,,Outdoor,https://www.tfrrs.org/athletes/7036939/Florida/Doneisha_Anderson.html,Verified 2019 outdoor result; audited against available official/indexed sources
Doneisha Anderson,Florida,SEC,400m,2019,FR,,,54.09,seconds,UF Tom Jones Memorial,2019-04-26,Final,16,,Outdoor,https://www.tfrrs.org/athletes/7036939/Florida/Doneisha_Anderson.html,Verified 2019 outdoor result; audited against available official/indexed sources
Doneisha Anderson,Florida,SEC,400m,2019,FR,,,52.55,seconds,SEC Outdoor Track & Field Championships,2019-05-09,Prelim,6,,Outdoor,https://www.tfrrs.org/athletes/7036939/Florida/Doneisha_Anderson.html,Verified 2019 outdoor result; audited against available official/indexed sources
Doneisha Anderson,Florida,SEC,400m,2019,FR,,,52.15,seconds,SEC Outdoor Track & Field Championships,2019-05-09,Final,6,,Outdoor,https://www.tfrrs.org/athletes/7036939/Florida/Doneisha_Anderson.html,Verified 2019 outdoor result; audited against available official/indexed sources
Doneisha Anderson,Florida,SEC,400m,2019,FR,,,53.99,seconds,NCAA Division I East Region Preliminary Rounds,2019-05-23,First Round,30,,Outdoor,https://www.tfrrs.org/athletes/7036939/Florida/Doneisha_Anderson.html,Verified 2019 outdoor result; audited against available official/indexed sources
Taylor Manson,Florida,SEC,400m,2019,SO,,,52.82,seconds,Florida Relays,2019-03-28,Final,8,,Outdoor,https://www.tfrrs.org/athletes/6582287/Florida/Taylor_Manson.html,Verified 2019 outdoor result; audited against available official/indexed sources
Taylor Manson,Florida,SEC,400m,2019,SO,,,53.07,seconds,LSU Alumni Gold,2019-04-20,Final,,,Outdoor,https://www.tfrrs.org/athletes/6582287/Florida/Taylor_Manson.html,Verified 2019 outdoor result; audited against available official/indexed sources
Taylor Manson,Florida,SEC,400m,2019,SO,,,52.53,seconds,UF Tom Jones Memorial,2019-04-26,Final,,,Outdoor,https://www.tfrrs.org/athletes/6582287/Florida/Taylor_Manson.html,Verified 2019 outdoor result; audited against available official/indexed sources
Taylor Manson,Florida,SEC,400m,2019,SO,,,53.16,seconds,SEC Outdoor Track & Field Championships,2019-05-09,Prelim,,,Outdoor,https://www.tfrrs.org/athletes/6582287/Florida/Taylor_Manson.html,Verified 2019 outdoor result; audited against available official/indexed sources
Taylor Manson,Florida,SEC,400m,2019,SO,,,52.61,seconds,NCAA Division I East Region Preliminary Rounds,2019-05-23,First Round,,,Outdoor,https://www.tfrrs.org/athletes/6582287/Florida/Taylor_Manson.html,Verified 2019 outdoor result; audited against available official/indexed sources
Taylor Manson,Florida,SEC,400m,2019,SO,,,52.45,seconds,NCAA Division I East Region Preliminary Rounds,2019-05-23,Quarterfinal,,,Outdoor,https://www.tfrrs.org/athletes/6582287/Florida/Taylor_Manson.html,Verified 2019 outdoor result; audited against available official/indexed sources
Taylor Manson,Florida,SEC,400m,2019,SO,,,53.75,seconds,NCAA Division I Outdoor Track & Field Championships,2019-06-05,Semifinal,,,Outdoor,https://www.tfrrs.org/athletes/6582287/Florida/Taylor_Manson.html,Verified 2019 outdoor result; audited against available official/indexed sources
Brandee' Johnson,Florida,SEC,100H,2019,JR,,,13.46,seconds,FSU Relays,2019-03-22,Final,2,1.9,Outdoor,https://tf.tfrrs.org/athletes/6099859/Florida/Brandee_Johnson.html,Verified 2019 outdoor result; audited against available official/indexed sources
Brandee' Johnson,Florida,SEC,100H,2019,JR,,,13.56,seconds,Florida Relays,2019-03-28,Final,11,0.2,Outdoor,https://tf.tfrrs.org/athletes/6099859/Florida/Brandee_Johnson.html,Verified 2019 outdoor result; audited against available official/indexed sources
Brandee' Johnson,Florida,SEC,100H,2019,JR,,,13.40,seconds,LSU Alumni Gold,2019-04-20,Final,9,2.8,Outdoor,https://tf.tfrrs.org/athletes/6099859/Florida/Brandee_Johnson.html,Verified 2019 outdoor result; audited against available official/indexed sources
Brandee' Johnson,Florida,SEC,100H,2019,JR,,,13.39,seconds,UF Tom Jones Memorial,2019-04-26,Prelim,6,1.1,Outdoor,https://tf.tfrrs.org/athletes/6099859/Florida/Brandee_Johnson.html,Verified 2019 outdoor result; audited against available official/indexed sources
Brandee' Johnson,Florida,SEC,100H,2019,JR,,,13.90,seconds,UF Tom Jones Memorial,2019-04-26,Final,9,2.3,Outdoor,https://tf.tfrrs.org/athletes/6099859/Florida/Brandee_Johnson.html,Verified 2019 outdoor result; audited against available official/indexed sources
