athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
Shadajah Ballard,Kentucky,SEC,100H,2023,SR,,,13.66,seconds,UCF Black and Gold Invite,2023-03-17,Final,1,1.6,Outdoor,https://www.tfrrs.org/athletes/7482127/Kentucky/Shadajah_Ballard.html,Verified 2023 outdoor performance; DOB/age left blank unless independently verified
Yasmin Brooks,Kentucky,SEC,100H,2023,SR,,,13.55,seconds,UCF Black and Gold Invite,2023-03-17,Final,1,1.6,Outdoor,https://tf.tfrrs.org/athletes/7493768/Kentucky/Yasmin_Brooks,Verified 2023 outdoor performance; DOB/age left blank unless independently verified
Masai Russell,Kentucky,SEC,400H,2023,SR,,,56.66,seconds,UCF Black and Gold Invite,2023-03-17,Final,1,,Outdoor,https://www.tfrrs.org/athletes/6995394/Kentucky/Masai_Russell.html,Verified 2023 outdoor performance; DOB/age left blank unless independently verified
Yasmin Brooks,Kentucky,SEC,400H,2023,SR,,,62.12,seconds,UCF Black and Gold Invite,2023-03-17,Final,7,,Outdoor,https://tf.tfrrs.org/athletes/7493768/Kentucky/Yasmin_Brooks,Verified 2023 outdoor performance; DOB/age left blank unless independently verified
Dajour Miles,Kentucky,SEC,400m,2023,SR,,,52.99,seconds,UCF Black and Gold Invite,2023-03-17,Final,2,,Outdoor,https://www.tfrrs.org/athletes/7482132/Tennessee/Dajour_Miles.html,Verified 2023 outdoor performance; DOB/age left blank unless independently verified
Karimah Davis,Kentucky,SEC,400m,2023,SR,,,53.74,seconds,UCF Black and Gold Invite,2023-03-17,Final,4,,Outdoor,https://www.tfrrs.org/athletes/6550717/Kentucky/Karimah_Davis.html,Verified 2023 outdoor performance; DOB/age left blank unless independently verified
Megan Moss,Kentucky,SEC,400m,2023,JR,,,54.35,seconds,UCF Black and Gold Invite,2023-03-17,Final,5,,Outdoor,https://www.tfrrs.org/athletes/7482133/Kentucky/Megan_Moss.html,Verified 2023 outdoor performance; DOB/age left blank unless independently verified
Anthaya Charlton,Kentucky,SEC,Long Jump,2023,FR,,,6.61,meters,UCF Black and Gold Invite,2023-03-17,Final,1,2.1,Outdoor,https://www.tfrrs.org/athletes/7987480/Kentucky/Anthaya_Charlton.html,Verified 2023 outdoor performance; DOB/age left blank unless independently verified
Meg Wilson,Kentucky,SEC,Long Jump,2023,JR,,,5.68,meters,UCF Black and Gold Invite,2023-03-17,Final,24,1.4,Outdoor,https://www.tfrrs.org/athletes/7715365/Kentucky/Meg_Wilson.html,Verified 2023 outdoor performance; DOB/age left blank unless independently verified
Sophie Galloway,Kentucky,SEC,Long Jump,2023,SO,,,5.92,meters,UCF Black and Gold Invite,2023-03-17,Final,10,2.4,Outdoor,https://www.tfrrs.org/athletes/8019658/Kentucky/Sophie_Galloway.html,Verified 2023 outdoor performance; DOB/age left blank unless independently verified
Masai Russell,Kentucky,SEC,100H,2023,SR,,,12.36,seconds,95th Clyde Littlefield Texas Relays,2023-03-29,Final,1,2.0,Outdoor,https://www.tfrrs.org/athletes/6995394/Kentucky/Masai_Russell.html,Verified 2023 outdoor performance; DOB/age left blank unless independently verified
