athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
Jasmine Camacho-Quinn,Kentucky,SEC,100H,2017,SO,,,12.69,seconds,Florida Relays,2017-03-31,Final,2,2.0,Outdoor,https://tf.tfrrs.org/athletes/5602993/Kentucky/Jasmine_Camacho-Quinn.html,Verified 2017 outdoor result; audited against available season/athlete sources
Jasmine Camacho-Quinn,Kentucky,SEC,100H,2017,SO,,,12.84,seconds,SEC Relays,2017-04-28,Final,1,1.8,Outdoor,https://tf.tfrrs.org/athletes/5602993/Kentucky/Jasmine_Camacho-Quinn.html,Verified 2017 outdoor result; audited against available season/athlete sources
Jasmine Camacho-Quinn,Kentucky,SEC,100H,2017,SO,,,12.94,seconds,SEC Outdoor Track & Field Championships,2017-05-12,Prelim,,0.3,Outdoor,https://tf.tfrrs.org/athletes/5602993/Kentucky/Jasmine_Camacho-Quinn.html,Verified 2017 outdoor result; audited against available season/athlete sources
Jasmine Camacho-Quinn,Kentucky,SEC,100H,2017,SO,,,12.81,seconds,SEC Outdoor Track & Field Championships,2017-05-13,Final,1,1.0,Outdoor,https://tf.tfrrs.org/athletes/5602993/Kentucky/Jasmine_Camacho-Quinn.html,Verified 2017 outdoor result; audited against available season/athlete sources
Jasmine Camacho-Quinn,Kentucky,SEC,100H,2017,SO,,,12.79,seconds,NCAA Division I East Preliminary Round,2017-05-25,First Round,,0.2,Outdoor,https://tf.tfrrs.org/athletes/5602993/Kentucky/Jasmine_Camacho-Quinn.html,Verified 2017 outdoor result; audited against available season/athlete sources
Jasmine Camacho-Quinn,Kentucky,SEC,100H,2017,SO,,,12.80,seconds,NCAA Division I East Preliminary Round,2017-05-27,Quarterfinal,,0.2,Outdoor,https://tf.tfrrs.org/athletes/5602993/Kentucky/Jasmine_Camacho-Quinn.html,Verified 2017 outdoor result; audited against available season/athlete sources
Jasmine Camacho-Quinn,Kentucky,SEC,100H,2017,SO,,,12.84,seconds,NCAA Division I Outdoor Track & Field Championships,2017-06-08,Semifinal,,0.1,Outdoor,https://tf.tfrrs.org/athletes/5602993/Kentucky/Jasmine_Camacho-Quinn.html,Verified 2017 outdoor result; audited against available season/athlete sources
Jasmine Camacho-Quinn,Kentucky,SEC,100H,2017,SO,,,12.58,seconds,NCAA Division I Outdoor Track & Field Championships,2017-06-10,Final,,1.6,Outdoor,https://tf.tfrrs.org/athletes/5602993/Kentucky/Jasmine_Camacho-Quinn.html,Verified 2017 outdoor result; audited against available season/athlete sources
Jacklyn Howell,Kentucky,SEC,100H,2017,JR,,,13.52,seconds,Florida Relays,2017-03-31,Final,,2.0,Outdoor,https://www.tfrrs.org/athletes/5116165,Verified 2017 outdoor result; audited against available season/athlete sources
Jacklyn Howell,Kentucky,SEC,100H,2017,JR,,,13.20,seconds,Texas Invitational,2017-04-15,Final,,2.3,Outdoor,https://www.tfrrs.org/athletes/5116165,Verified 2017 outdoor result; audited against available season/athlete sources
Jacklyn Howell,Kentucky,SEC,100H,2017,JR,,,13.35,seconds,SEC Relays,2017-04-28,Final,3,1.8,Outdoor,https://www.tfrrs.org/athletes/5116165,Verified 2017 outdoor result; audited against available season/athlete sources
Jacklyn Howell,Kentucky,SEC,100H,2017,JR,,,13.18,seconds,SEC Outdoor Track & Field Championships,2017-05-12,Prelim,,0.3,Outdoor,https://www.tfrrs.org/athletes/5116165,Verified 2017 outdoor result; audited against available season/athlete sources
Jacklyn Howell,Kentucky,SEC,100H,2017,JR,,,13.24,seconds,SEC Outdoor Track & Field Championships,2017-05-13,Final,4,1.0,Outdoor,https://www.tfrrs.org/athletes/5116165,Verified 2017 outdoor result; audited against available season/athlete sources
Jacklyn Howell,Kentucky,SEC,100H,2017,JR,,,13.00,seconds,NCAA Division I East Preliminary Round,2017-05-25,First Round,,1.7,Outdoor,https://www.tfrrs.org/athletes/5116165,Verified 2017 outdoor result; audited against available season/athlete sources
Jacklyn Howell,Kentucky,SEC,100H,2017,JR,,,13.17,seconds,NCAA Division I East Preliminary Round,2017-05-27,Quarterfinal,,0.2,Outdoor,https://www.tfrrs.org/athletes/5116165,Verified 2017 outdoor result; audited against available season/athlete sources
Kiah Seymour,Kentucky,SEC,100H,2017,SR,,,13.67,seconds,Baldy Castillo Invitational,2017-03-18,Final,4,1.0,Outdoor,https://tfrrs.org/athletes/5649579/Kentucky/Kiah_Seymour.html,Verified 2017 outdoor result; audited against available season/athlete sources
Kiah Seymour,Kentucky,SEC,100H,2017,SR,,,14.06,seconds,Florida Relays,2017-03-31,Final,45,2.7,Outdoor,https://tfrrs.org/athletes/5649579/Kentucky/Kiah_Seymour.html,Verified 2017 outdoor result; audited against available season/athlete sources
Kiah Seymour,Kentucky,SEC,400H,2017,SR,,,58.93,seconds,Florida Relays,2017-03-31,Final,9,,Outdoor,https://tfrrs.org/athletes/5649579/Kentucky/Kiah_Seymour.html,Verified 2017 outdoor result; audited against available season/athlete sources
Kiah Seymour,Kentucky,SEC,400H,2017,SR,,,56.67,seconds,Texas Invitational,2017-04-15,Final,1,,Outdoor,https://tfrrs.org/athletes/5649579/Kentucky/Kiah_Seymour.html,Verified 2017 outdoor result; audited against available season/athlete sources
Kiah Seymour,Kentucky,SEC,400H,2017,SR,,,58.95,seconds,SEC Relays,2017-04-28,Final,4,,Outdoor,https://tfrrs.org/athletes/5649579/Kentucky/Kiah_Seymour.html,Verified 2017 outdoor result; audited against available season/athlete sources
Kiah Seymour,Kentucky,SEC,400H,2017,SR,,,57.34,seconds,SEC Outdoor Track & Field Championships,2017-05-12,Prelim,6,,Outdoor,https://tfrrs.org/athletes/5649579/Kentucky/Kiah_Seymour.html,Verified 2017 outdoor result; audited against available season/athlete sources
Kiah Seymour,Kentucky,SEC,400H,2017,SR,,,58.06,seconds,SEC Outdoor Track & Field Championships,2017-05-13,Final,3,,Outdoor,https://tfrrs.org/athletes/5649579/Kentucky/Kiah_Seymour.html,Verified 2017 outdoor result; audited against available season/athlete sources
Precious Hitchcock,Kentucky,SEC,400m,2017,SR,,,54.89,seconds,Florida Relays,2017-03-31,Final,9,,Outdoor,https://www.tfrrs.org/athletes/5602991/Kentucky/Precious_Hitchcock.html,Verified 2017 outdoor result; audited against available season/athlete sources
Precious Hitchcock,Kentucky,SEC,400m,2017,SR,,,55.08,seconds,Florida Relays,2017-03-31,Final,26,,Outdoor,https://www.tfrrs.org/athletes/5602991/Kentucky/Precious_Hitchcock.html,Verified 2017 outdoor result; audited against available season/athlete sources
Sha'Keela Saunders,Kentucky,SEC,Long Jump,2017,SR,,,6.57,meters,Texas Invitational,2017-04-15,Final,1,2.1,Outdoor,https://www.tfrrs.org/athletes/4177198/Kentucky/Sha%27Keela_Saunders.html,Verified 2017 outdoor result; audited against available season/athlete sources
Sha'Keela Saunders,Kentucky,SEC,Long Jump,2017,SR,,,6.79,meters,SEC Relays,2017-04-28,Final,2,1.2,Outdoor,https://www.tfrrs.org/athletes/4177198/Kentucky/Sha%27Keela_Saunders.html,Verified 2017 outdoor result; audited against available season/athlete sources
