athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
Makenzi Kopp,Georgia,SEC,400m,2019,JR,,,57.00,seconds,Spec Towns Invitational,2019-04-05,Final,6,,Outdoor,https://www.tfrrs.org/athletes/6121330/Georgia/Makenzi_Kopp.html,Verified 2019 outdoor result; audited against available official/indexed sources
Makenzi Kopp,Georgia,SEC,400H,2019,JR,,,1:03.91,seconds,Yellow Jacket Invitational,2019-03-15,Final,7,,Outdoor,https://www.tfrrs.org/athletes/6121330/Georgia/Makenzi_Kopp.html,Verified 2019 outdoor result; audited against available official/indexed sources
Makenzi Kopp,Georgia,SEC,400H,2019,JR,,,1:04.09,seconds,Florida Relays,2019-03-28,Final,44,,Outdoor,https://www.tfrrs.org/athletes/6121330/Georgia/Makenzi_Kopp.html,Verified 2019 outdoor result; audited against available official/indexed sources
Makenzi Kopp,Georgia,SEC,400H,2019,JR,,,1:03.06,seconds,Spec Towns Invitational,2019-04-05,Final,5,,Outdoor,https://www.tfrrs.org/athletes/6121330/Georgia/Makenzi_Kopp.html,Verified 2019 outdoor result; audited against available official/indexed sources
Makenzi Kopp,Georgia,SEC,400H,2019,JR,,,1:02.80,seconds,Mt. SAC Relays,2019-04-18,Final,18,,Outdoor,https://www.tfrrs.org/athletes/6121330/Georgia/Makenzi_Kopp.html,Verified 2019 outdoor result; audited against available official/indexed sources
Makenzi Kopp,Georgia,SEC,400H,2019,JR,,,1:03.43,seconds,Torrin Lawrence Memorial,2019-04-26,Final,6,,Outdoor,https://www.tfrrs.org/athletes/6121330/Georgia/Makenzi_Kopp.html,Verified 2019 outdoor result; audited against available official/indexed sources
Chelsea Zoller,Georgia,SEC,400m,2019,R-SO,,,57.28,seconds,Spec Towns Invitational,2019-04-05,Final,8,,Outdoor,https://www.tfrrs.org/athletes/6121342/Georgia/Chelsea_Zoller,Verified 2019 outdoor result; audited against available official/indexed sources
Chelsea Zoller,Georgia,SEC,400H,2019,R-SO,,,1:03.57,seconds,Yellow Jacket Invitational,2019-03-15,Final,5,,Outdoor,https://www.tfrrs.org/athletes/6121342/Georgia/Chelsea_Zoller,Verified 2019 outdoor result; audited against available official/indexed sources
Chelsea Zoller,Georgia,SEC,400H,2019,R-SO,,,1:02.17,seconds,Florida Relays,2019-03-28,Final,29,,Outdoor,https://www.tfrrs.org/athletes/6121342/Georgia/Chelsea_Zoller,Verified 2019 outdoor result; audited against available official/indexed sources
Chelsea Zoller,Georgia,SEC,400H,2019,R-SO,,,1:02.22,seconds,Spec Towns Invitational,2019-04-05,Final,4,,Outdoor,https://www.tfrrs.org/athletes/6121342/Georgia/Chelsea_Zoller,Verified 2019 outdoor result; audited against available official/indexed sources
