athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
Aliyah Abrams,South Carolina,SEC,400m,2019,R-JR,,,52.28,seconds,Florida Relays,2019-03-28,Final,6,,Outdoor,https://www.tfrrs.org/athletes/5637462/South_Carolina/Aliyah__Abrams.html,Verified 2019 outdoor result; audited against available official/indexed sources
Aliyah Abrams,South Carolina,SEC,400m,2019,R-JR,,,52.30,seconds,Spec Towns Invitational,2019-04-05,Final,1,,Outdoor,https://www.tfrrs.org/athletes/5637462/South_Carolina/Aliyah__Abrams.html,Verified 2019 outdoor result; audited against available official/indexed sources
Aliyah Abrams,South Carolina,SEC,400m,2019,R-JR,,,52.58,seconds,SEC Outdoor Track & Field Championships,2019-05-09,Prelim,7,,Outdoor,https://www.tfrrs.org/athletes/5637462/South_Carolina/Aliyah__Abrams.html,Verified 2019 outdoor result; audited against available official/indexed sources
Aliyah Abrams,South Carolina,SEC,400m,2019,R-JR,,,51.92,seconds,SEC Outdoor Track & Field Championships,2019-05-09,Final,5,,Outdoor,https://www.tfrrs.org/athletes/5637462/South_Carolina/Aliyah__Abrams.html,Verified 2019 outdoor result; audited against available official/indexed sources
Aliyah Abrams,South Carolina,SEC,400m,2019,R-JR,,,52.13,seconds,NCAA Division I East Region Preliminary Rounds,2019-05-23,First Round,3,,Outdoor,https://www.tfrrs.org/athletes/5637462/South_Carolina/Aliyah__Abrams.html,Verified 2019 outdoor result; audited against available official/indexed sources
Aliyah Abrams,South Carolina,SEC,400m,2019,R-JR,,,51.63,seconds,NCAA Division I East Region Preliminary Rounds,2019-05-23,Quarterfinal,4,,Outdoor,https://www.tfrrs.org/athletes/5637462/South_Carolina/Aliyah__Abrams.html,Verified 2019 outdoor result; audited against available official/indexed sources
Aliyah Abrams,South Carolina,SEC,400m,2019,R-JR,,,51.51,seconds,NCAA Division I Outdoor Track & Field Championships,2019-06-05,Semifinal,1,,Outdoor,https://www.tfrrs.org/athletes/5637462/South_Carolina/Aliyah__Abrams.html,Verified 2019 outdoor result; audited against available official/indexed sources
Aliyah Abrams,South Carolina,SEC,400m,2019,R-JR,,,51.13,seconds,NCAA Division I Outdoor Track & Field Championships,2019-06-05,Final,5,,Outdoor,https://www.tfrrs.org/athletes/5637462/South_Carolina/Aliyah__Abrams.html,Verified 2019 outdoor result; audited against available official/indexed sources
Milan Parks,South Carolina,SEC,100H,2019,SR,,,14.17,seconds,Buccaneer Invitational,2019-03-23,Prelim,1,0.6,Outdoor,https://www.tfrrs.org/athletes/5637468/South_Carolina/Milan_Parks.html,Verified 2019 outdoor result; audited against available official/indexed sources
Milan Parks,South Carolina,SEC,100H,2019,SR,,,13.60,seconds,Buccaneer Invitational,2019-03-23,Final,1,1.0,Outdoor,https://www.tfrrs.org/athletes/5637468/South_Carolina/Milan_Parks.html,Verified 2019 outdoor result; audited against available official/indexed sources
