athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
Hannah Labrie-Smith,Stanford,ACC,100H,2018,JR,,,14.25,s,Sacramento State Hornet Invitational,2018-03-17,Final,,2.1,Outdoor,https://www.tfrrs.org/athletes/5624082,"audited_2026-09-21; Stanford was Pac-12 member in 2018, grouped under ACC for project"
Amber Lewis,Stanford,ACC,400H,2018,SR,,,63.78,s,Sacramento State Hornet Invitational,2018-03-17,Final,6,,Outdoor,https://gostanford.com/news/2018/03/17/freshmen-sensations,"audited_2026-09-21; Stanford was Pac-12 member in 2018, grouped under ACC for project"
Hannah Labrie-Smith,Stanford,ACC,400H,2018,JR,,,61.27,s,Sacramento State Hornet Invitational,2018-03-17,Final,2,,Outdoor,https://gostanford.com/news/2018/03/17/freshmen-sensations,"audited_2026-09-21; Stanford was Pac-12 member in 2018, grouped under ACC for project"
Daryth Gayles,Stanford,ACC,Long Jump,2018,SR,,,5.91,m,Sacramento State Hornet Invitational,2018-03-17,Final,4,,Outdoor,https://gostanford.com/news/2018/03/17/freshmen-sensations,"audited_2026-09-21; Stanford was Pac-12 member in 2018, grouped under ACC for project"
Amber Lewis,Stanford,ACC,100H,2018,SR,,,16.80,s,Stanford Invitational,2018-03-30,Prelim,38,,Outdoor,https://gostanford.com/news/2018/03/30/big-throws-big-wins,"audited_2026-09-21; Stanford was Pac-12 member in 2018, grouped under ACC for project"
Brittany McGee,Stanford,ACC,100H,2018,,,,14.73,s,Stanford Invitational,2018-03-30,Prelim,23,,Outdoor,https://gostanford.com/news/2018/03/30/big-throws-big-wins,"audited_2026-09-21; Stanford was Pac-12 member in 2018, grouped under ACC for project"
Hannah Labrie-Smith,Stanford,ACC,100H,2018,JR,,,14.37,s,Stanford Invitational,2018-03-30,Prelim,17,1.4,Outdoor,https://gostanford.com/news/2018/03/30/big-throws-big-wins,"audited_2026-09-21; Stanford was Pac-12 member in 2018, grouped under ACC for project"
Amber Lewis,Stanford,ACC,400H,2018,SR,,,64.14,s,Stanford Invitational,2018-03-30,Final,24,,Outdoor,https://gostanford.com/news/2018/03/30/big-throws-big-wins,"audited_2026-09-21; Stanford was Pac-12 member in 2018, grouped under ACC for project"
Hannah Labrie-Smith,Stanford,ACC,400H,2018,JR,,,62.19,s,Stanford Invitational,2018-03-30,Final,10,,Outdoor,https://gostanford.com/news/2018/03/30/big-throws-big-wins,"audited_2026-09-21; Stanford was Pac-12 member in 2018, grouped under ACC for project"
Brittany McGee,Stanford,ACC,Long Jump,2018,,,,5.69,m,Stanford Invitational,2018-03-30,Collegiate,8,,Outdoor,https://gostanford.com/news/2018/03/30/big-throws-big-wins,"audited_2026-09-21; Stanford was Pac-12 member in 2018, grouped under ACC for project"
Daryth Gayles,Stanford,ACC,Long Jump,2018,SR,,,6.12,m,Stanford Invitational,2018-03-30,Invitational,1,,Outdoor,https://gostanford.com/news/2018/03/30/big-throws-big-wins,"audited_2026-09-21; Stanford was Pac-12 member in 2018, grouped under ACC for project"
Marisa Kwiatkowski,Stanford,ACC,Long Jump,2018,,,,5.71,m,Stanford Invitational,2018-03-30,Collegiate,7,,Outdoor,https://gostanford.com/news/2018/03/30/big-throws-big-wins,"audited_2026-09-21; Stanford was Pac-12 member in 2018, grouped under ACC for project"
Hannah Labrie-Smith,Stanford,ACC,100H,2018,JR,,,14.31,s,Big Meet,2018-04-07,Final,2,,Outdoor,https://www.tfrrs.org/athletes/5624082,"audited_2026-09-21; Stanford was Pac-12 member in 2018, grouped under ACC for project"
Ashlan Best,Stanford,ACC,400m,2018,FR,,,53.96,s,Cardinal Classic,2018-04-20,Final,4,,Outdoor,https://api.tfrrs.org/results/54868/3454372/2018_Cardinal_Classic/400-Meters,"audited_2026-09-21; Stanford was Pac-12 member in 2018, grouped under ACC for project"
Carolyn Wilson,Stanford,ACC,400m,2018,FR,,,53.98,s,Cardinal Classic,2018-04-20,Final,5,,Outdoor,https://api.tfrrs.org/results/54868/3454372/2018_Cardinal_Classic/400-Meters,"audited_2026-09-21; Stanford was Pac-12 member in 2018, grouped under ACC for project"
Gabrielle Gayles,Stanford,ACC,400m,2018,JR,,,53.18,s,Cardinal Classic,2018-04-20,Final,2,,Outdoor,https://api.tfrrs.org/results/54868/3454372/2018_Cardinal_Classic/400-Meters,"audited_2026-09-21; Stanford was Pac-12 member in 2018, grouped under ACC for project"
Missy Mongiovi,Stanford,ACC,400m,2018,JR,,,53.42,s,Cardinal Classic,2018-04-20,Final,3,,Outdoor,https://api.tfrrs.org/results/54868/3454372/2018_Cardinal_Classic/400-Meters,"audited_2026-09-21; Stanford was Pac-12 member in 2018, grouped under ACC for project"
Olivia Baker,Stanford,ACC,400m,2018,SR,,,53.03,s,Cardinal Classic,2018-04-20,Final,1,,Outdoor,https://api.tfrrs.org/results/54868/3454372/2018_Cardinal_Classic/400-Meters,"audited_2026-09-21; Stanford was Pac-12 member in 2018, grouped under ACC for project"
